"Titel"	"OGDB-Eintrag"
"metal gear solid"	"metal gear solid"
"Metal Gear Solid"	"Metal Gear Solid"
"mission: impossible - expect the impossible"	"mission: impossible - expect the impossible"
"Mission: Impossible - Expect the Impossible"	"Mission: Impossible - Expect the Impossible"
"monkey island 2 special edition: lechuck's revenge"	"monkey island 2 special edition: lechuck's revenge"
"Monkey Island 2 Special Edition: LeChuck's Revenge"	"Monkey Island 2 Special Edition: LeChuck's Revenge"
"Monster Hunter 4 Ultimate"	"Monster Hunter 4 Ultimate"
"monster hunter 4 ultimate"	"monster hunter 4 ultimate"
"MX vs. ATV Reflex"	"MX vs. ATV Reflex"
"mx vs. atv reflex"	"mx vs. atv reflex"
"NHL 17"	"NHL 17"
"nhl 17"	"nhl 17"
"No Man’s Sky"	"No Man's Sky"
"no man’s sky"	"no man's sky"
"titel"	"ogdb-eintrag"
"Okhlos: Omega"	"Okhlos: Omega (Steam)"
"okhlos: omega"	"okhlos: omega (steam)"
"overwatch"	"overwatch (origins edition)"
"pillars of eternity"	"pillars of eternity (game of the year edition)"
"pokémon sonne"	"pokémon sonne"
"Pokémon Sonne"	"Pokémon Sonne"
"Pokémon: Gelbe Edition"	"Pokémon: Gelbe Edition"
"pokémon: gelbe edition"	"pokémon: gelbe edition"
"pokémon: silberne edition"	"pokémon: goldene edition"
"Pokémon: Silberne Edition"	"Pokémon: Goldene Edition"
"Pokémon: Rubin-Edition"	"Pokémon: Rubin-Edition"
"pokémon: rubin-edition"	"pokémon: rubin-edition"
"pokémon: weisse edition 2"	"pokémon: weisse edition 2"
"Pokémon: Weisse Edition 2"	"Pokémon: Weisse Edition 2"
"pro evolution soccer 2017"	"pro evolution soccer 2017"
"Pro Evolution Soccer 2017"	"Pro Evolution Soccer 2017"
"resident evil: revelations 2"	"resident evil: revelations 2 - extra-episode 1: die prüfung"
"Retro-Pixel Castles"	"Retro-Pixel Castles (Early Access) (Steam)"
"retro-pixel castles"	"retro-pixel castles (early access) (steam)"
"rhythm paradise megamix"	"rhythm paradise megamix"
"Rhythm Paradise Megamix"	"Rhythm Paradise Megamix"
"rise of the tomb raider"	"rise of the tomb raider"
"Rise of the Tomb Raider"	"Rise of the Tomb Raider"
"road redemption"	"road redemption (steam, early access)"
"Rocket League"	"Rocket League"
"rocket league"	"rocket league"
"Runaway 2: The Dream of the Turtle"	"Runaway 2: The Dream of the Turtle"
"runaway 2: the dream of the turtle"	"runaway 2: the dream of the turtle"
"runaway: a twist of fate"	"runaway: a twist of fate"
"Runaway: A Twist of Fate"	"Runaway: A Twist of Fate"
"Salt and Sanctuary"	"Salt and Sanctuary (Steam)"
"salt and sanctuary"	"salt and sanctuary (steam)"
"Secret Files: Tunguska"	"Secret Files: Tunguska"
"secret files: tunguska"	"secret files: tunguska"
"serious sam vr: the last hope"	"serious sam vr: the last hope (steam, early access)"
"Serious Sam VR: The Last Hope"	"Serious Sam VR: The Last Hope (Steam, Early Access)"
"shadow tactics: blades of the shogun"	"shadow tactics: blades of the shogun (limited collector's edition)"
"Shadow Tactics: Blades of the Shogun"	"Shadow Tactics: Blades of the Shogun (Limited Collector's Edition)"
"shadow warrior 2"	"shadow warrior 2 (collectors edition)"
"Shadow Warrior 2"	"Shadow Warrior 2 (Collectors Edition)"
"Sheltered"	"Sheltered (Steam, Early Access)"
"sheltered"	"sheltered (steam, early access)"
"sid meier's civilization v"	"sid meier's civilization v (gold edition)"
"Sid Meier's Civilization VI"	"Sid Meier's Civilization VI"
"sid meier's civilization vi"	"sid meier's civilization vi"
"Sniper Elite"	"Sniper Elite"
"sniper elite"	"sniper elite"
"sorcerer king"	"sorcerer king (steam)"
"Sorcerer King"	"Sorcerer King (Steam)"
"soul calibur v"	"soul calibur v"
"Soul Calibur V"	"Soul Calibur V"
"Spyro 2: Ripto's Rage"	"Spyro 2: Ripto's Rage"
"spyro 2: ripto's rage"	"spyro 2: ripto's rage"
"star trek: armada ii"	"star trek: armada ii"
"Star Trek: Armada II"	"Star Trek: Armada II"
"Star Wars: Battlefront"	"Star Wars: Battlefront"
"star wars: battlefront"	"star wars: battlefront"
"starbound"	"starbound (steam, early access)"
"stardew vally"	"stardew valley (gog)"
"Stardew Vally"	"Stardew Valley (GOG)"
"Starless: Nymphomaniacs' Paradise"	"Starless: Nymphomaniacs' Paradise"
"starless: nymphomaniacs' paradise"	"starless: nymphomaniacs' paradise"
"steep"	"steep (gold edition)"
"Steep"	"Steep (Gold Edition)"
"Steredenn"	"Steredenn (Humble Store)"
"steredenn"	"steredenn (humble store)"
"stranded deep"	"stranded deep (early access, steam)"
"Super Mario Maker"	"Super Mario Maker"
"super mario maker"	"super mario maker"
"super smash bros 4"	"super smash bros. for wii u"
"sword art online: infinity moment"	"sword art online: infinity moment"
"Sword Art Online: Infinity Moment"	"Sword Art Online: Infinity Moment"
"tales from the borderlands"	"tales from the borderlands: episode 1 - zer0 sum"
"technomage - die rückkehr der ewigkeit"	"technomage: die rückkehr der ewigkeit"
"Technomage - Die Rückkehr der Ewigkeit"	"TechnoMage: Die Rückkehr der Ewigkeit"
"the banner saga"	"the banner saga"
"The Banner Saga"	"The Banner Saga"
"The Battle for Wesnoth"	"The Battle for Wesnoth (GameStar 06/2011)"
"the battle for wesnoth"	"the battle for wesnoth (gamestar 06/2011)"
"the brookhaven experiment"	"the brookhaven experiment (steam)"
"The Brookhaven Experiment"	"The Brookhaven Experiment (Steam)"
"The Dwarves"	"The Dwarves"
"the dwarves"	"the dwarves"
"the elder scrolls v: skyrim"	"the elder scrolls v: skyrim"
"The Elder Scrolls V: Skyrim"	"The Elder Scrolls V: Skyrim"
"The Elder Scrolls: Legends"	"The Elder Scrolls: Legends"
"the elder scrolls: legends"	"the elder scrolls: legends"
"the legend of heroes: trails in the sky"	"the legend of heroes: trails in the sky"
"The Legend of Heroes: Trails in the Sky"	"The Legend of Heroes: Trails in the Sky"
"the legend of zelda: majora's mask 3d"	"the legend of zelda: majora's mask 3d"
"The Legend of Zelda: Majora's Mask 3D"	"The Legend of Zelda: Majora's Mask 3D"
"The Legend of Zelda: Ocarina of Time 3D"	"The Legend of Zelda: Ocarina of Time 3D"
"the legend of zelda: ocarina of time 3d"	"the legend of zelda: ocarina of time 3d"
"The Long Dark"	"The Long Dark (Steam, early Access)"
"the long dark"	"the long dark (steam, early access)"
"The Secret of Monkey Island: Special Edition"	"The Secret of Monkey Island: Special Edition"
"the secret of monkey island: special edition"	"the secret of monkey island: special edition"
"the solus project"	"the solus project  (steam, early access)"
"The Solus Project"	"The Solus Project  (Steam, Early Access)"
"the witcher"	"the witcher"
"The Witcher"	"The Witcher"
"the wolf among us"	"the wolf among us: episode 1 - faith"
"titan quest: anniversary edition"	"titan quest: anniversary edition (gog)"
"Titan Quest: Anniversary Edition"	"Titan Quest: Anniversary Edition (GOG)"
"TOCA: World Touring Cars"	"TOCA: World Touring Cars"
"toca: world touring cars"	"toca: world touring cars"
"tom clancy's the division"	"tom clancy's the division"
"Tom Clancy's The Division"	"Tom Clancy's The Division"
"torchlight"	"torchlight"
"Torchlight"	"Torchlight"
"total war: warhammer"	"total war: warhammer"
"Total War: Warhammer"	"Total War: Warhammer"
"ultima vii: the black gate"	"ultima vii: the black gate"
"Ultima VII: The Black Gate"	"Ultima VII: The Black Gate"
"until dawn"	"until dawn"
"Until Dawn"	"Until Dawn"
"until dawn: rush of blood"	"until dawn: rush of blood"
"Until Dawn: Rush of Blood"	"Until Dawn: Rush of Blood"
"war for the overworld"	"war for the overworld (steam)"
"War for the Overworld"	"War for the Overworld (Steam)"
"warhammer: end times - vermintide"	"warhammer: end times - vermintide (collector's edition)"
"wildstar"	"wildstar (deluxe edition)"
"wolfenstein: the old blood"	"wolfenstein: the old blood"
"Wolfenstein: The Old Blood"	"Wolfenstein: The Old Blood"
"wwe 2k17"	"wwe 2k17"
"WWE 2K17"	"WWE 2K17"
"XCOM 2"	"XCOM 2"
"xcom 2"	"xcom 2"
