"VDVC-Titel"	"OGDB-Matc"
"Battle Realms"	"Battle Realms"
"(???) Bayonetta 1+2"	(titel)
"Bayonetta 2"	"Bayonetta 2"
"Bayonetta"	Bayonetta
"BeamNG.drive"	BeamNG.drive
"Beasts of Prey"	(titel)
"Beat Hazard"	"Beat Hazard"
"Bedlam"	Bedlam
"Bejeweled 3"	"Bejeweled 3"
"Bejeweled"	Bejeweled
"Bernd Das Brot Und Die Unmöglichen"	(titel)
"Betrayer"	(titel)
"Beyond Good Beyond Good and Evil" Evil""	(titel)
"Beyond Good Beyond Good & Evil" Evil""	(titel)
"Beyond: Two Souls"	"Beyond: Two Souls"
"(???) BF23"	(titel)
"Bike Rivals"	(titel)
"Biohazard rebirth"	(titel)
"(???) Bioshock 1Bioshock 1&2"2""	(titel)
"BioShock 2"	"BioShock 2"
"Bioshock"	BioShock
"BioShock Infinite"	"BioShock Infinite"
"Bit.Trip.Runner 2"	(titel)
"BIT.TRIP RUNNER"	"Bit.Trip Runner"
"Bit.Trip.Runner"	(titel)
"Black Black and White 2" White 2""	(titel)
"Blacklight Retribution"	(titel)
"Blackshot"	(titel)
"Blackwell Unbound"	"Blackwell Unbound"
"Bladestorm: Der Hundertjährige Krieg"	"Bladestorm: Der Hundertjährige Krieg"
"(???) BlazBlue (alle Spielereihe)"	(titel)
"Bleach - Soul Resurreccion"	(titel)
"Blendoku"	(titel)
"Blitz Brigade"	(titel)
"Blobby Volley 2"	(titel)
"Blobby Volley"	(titel)
"Blockstorm"	(titel)
"Blood 2"	(titel)
"Blood Bowl"	"Blood Bowl"
"BloodRayne"	BloodRayne
"Bloons Tower Defense 5"	(titel)
"Blur"	Blur
"Book  of unwritten Tales"	(titel)
"Boom Beach"	(titel)
"Borderlands 2"	"Borderlands 2"
"Borderlands"	Borderlands
"Borderlands  The Pre- Sequel"	(titel)
"Borderlands: The Pre-Sequel"	(titel)
"Boulder Dash"	"Boulder Dash"
"Braid"	Braid
"Brave and Default"	(titel)
"Braveland"	(titel)
"Bravely Default"	"Bravely Default"
"Brink"	Brink
"Broforce"	(titel)
"Broken Age"	(titel)
"Brothers: A Tale of Two Sons"	"Brothers: A Tale of Two Sons"
"Brütal Legend"	"Brütal Legend"
"Bubble Witch 2 Saga"	(titel)
"Bulletstorm"	Bulletstorm
"Bully: Scholarship Edition"	"Bully: Scholarship Edition"
"Burnout Paradise"	(titel)
"Caesar III"	"Caesar III"
"Call of Duty 2"	"Call of Duty 2"
"Call of Duty 3"	"Call of Duty 3"
"Call of Duty 4: Modern Warfare"	"Call of Duty 4: Modern Warfare"
"Call of Duty: Advanced Warfare"	"Call of Duty: Advanced Warfare"
"(???) Call of Duty Advanced Warfigher"	(titel)
"Call of Duty: Black Ops"	"Call of Duty: Black Ops"
"Call of Duty: Black Ops II"	"Call of Duty: Black Ops II"
"Call of Duty"	"Call of Duty"
"(???) Call of Duty diverse"	(titel)
"Call of Duty: Ghosts"	"Call of Duty: Ghosts"
"Call of Duty: Modern Warfare 2"	"Call of Duty: Modern Warfare 2"
"Call of Duty: Modern Warfare 3"	"Call of Duty: Modern Warfare 3"
"Call of Duty: World at War"	"Call of Duty: World at War"
"Call of Juarez"	"Call of Juarez"
"Candy Crush Saga"	(titel)
