"Unsere Schreibweise"	"Andere Schreibweise"
"(???) God Of War 1+3"	"God Of War 1+3"
"(???) Gran Turismo"	"Gran Turismo"
"(???) Guitar Hero / Band Hero"	"Guitar Hero / Band Hero"
"(???) Guitar Hero"	"Guitar Hero"
"(???) Half-Life 2 Mods"	"Half-Life 2 Mods"
"(???) Halo 1-4"	"Halo 1-4"
"(???) Hashi"	"Hashi"
"(???) Hitman"	"Hitman"
"(???) Hugo"	"Hugo"
"(???) Hyperdimension Neptunia"	"Hyper dimension neptunia"
"(???) Hyperdimension Neptunia"	"Hyperdimension Neptunia"
"(???) Ich hasse Frauen"	"Ich hasse Frauen"
"(???) Jewels Legends"	"Jewels Legends"
"(???) Jurassic Park"	"Jurassic Park"
"(???) Just Cause 4"	"just cause 4"
"(???) Just Dance"	"Just Dance"
"(???) Kalah!"	"Kalah!"
"(???) Kalah!"	"Kalah"
"(???) Kentucky Route Zero"	"Kentucky Road Zero"
"(???) Kentucky Route Zero"	"Kentucky Route Zero"
"(???) Kingdom Hearts II.5 HD ReMIX"	"Kingdom Hearts II.5 HD ReMIX"
"(???) Knights of the old Republic 1+2"	"Knights of the old Republic 1+2"
"(???) Kotor 1 & 2"	"Kotor 1 & 2"
"(???) LEGO Star Wars"	"LEGO Star Wars"
"(???) LS Simulator 2013"	"LS Simulator 2013"
"(???) Landwar"	"Landwar"
"(???) Landwirtschaft Simulator"	"Landwirtschaft Simulator"
"(???) Landwirtschafts -Simulator"	"Landwirtschafts -Simulator"
"(???) Landwirtschaftssimulator"	"Landwirtschaftssimulator"
"(???) Lanwirtschaftssimulator"	"Lanwirtschaftssimulator"
"(???) Lasers"	"Lasers"
"(???) Left 4"	"Left 4"
"(???) Lego Harry Potter 5-7"	"Lego Harry Potter 5-7"
"(???) M.A.X."	"M.A.X."
"(???) Madden"	"Madden"
"(???) Magic Arena"	"Magic Arena"
"(???) Magic: The Gathering - Duels"	"Magic Duels (Magic: The Gathering)"
"(???) Magic: The Gathering"	"Magic cards"
"(???) Magic: The Gathering"	"Magic the Gathering"
"(???) Magic: The Gathering"	"Magic: The Gathering"
"(???) Magic: The Gathering"	"Magic: The Gathering"
"(???) Magic: The Gathering"	"magic duels"
"(???) Magna Carta"	"Magna Carta"
"(???) Mahjong Tower"	"Mahjong Tower"
"(???) Mahjong Tower"	"Mahjong Towers"
"(???) Mahjong Tower"	"Mahjongg"
"(???) Mario Kart"	"Mario Kart"
"(???) Mario Party"	"Mario Party"
"(???) Mario"	"Mario"
"(???) Marvell Heroes"	"Marvell Heroes"
"(???) Mass Effect 2+3"	"Mass Effect 2+3"
"(???) Mass Effect Trilogy"	"Mass Effect 1-3"
"(???) Mass Effect Trilogy"	"Mass Effect Franchise"
"(???) Mass Effect Trilogy"	"Mass Effect Reihe"
"(???) Mass Effect Trilogy"	"Mass Effect Trilogy"
"(???) Mass Effect Trilogy"	"Mass Effect Triologie"
"(???) Mass Effect Trilogy"	"Mass effect 1;2;3"
