"";"1970";"1";"A1";"COAX";"100";"";"";"1";"";"";"18";"2";"A5";"1983";"";"A5";"";"";"";"";"";"";"";"";"24";"1";"Borderlands 2 (2012)";"2012";"USK18";"PayDay 2 (2013)";"2013";"USK18";"Warhammer Space Marine ()";"";"";"Warhammer Retribution ()";"";"";"Biohazard: The Darkside Chronicles (2010)";"2010";"";"J";"Q";"J";"J";"J";"1";"1";"1";"1";"1";"Win";"Win";"Win";"Win";"Win";"";"";"";"";"";"100";"100";"0";"100";"10";"A5";"A5";"A5";"A2";"A2";"A2";"A2";"A2";"A3";"";"";"";"";"";"";"";"1";"1";"1";"3";"1";"";"0";"";"0";"";"0";"";"0";"A0";"2";"";"0";"";"0";"";"0";"";"0";"";"";"";"";"";"";"";"";"";"1";"1";"2";"2";"2";"1";"2";"1";"0";"0";"1";"1";"0";"1";"1";"A3";"";"";"";"";"";"";"";"";"";"";"";"A5";"";"A5";"";"A5";"";"A5";"";"A5";"J";"";"";"A5";"";"A5";"J";"";"";"A5";"";"A5";"J";"J";"J";"J";"J";"J";"J";"J";"J";"J";"3";"2";"2";"2";"1";"1";"3";"1";"1";"1";"A2";"2";"A2";"2";"A2";"2";"A2";"2";"A2"
"?";"1996";"2";"A1";"DSL";"";"16";"";"1";"";"";"46";"4";"A1";"2005";"A1";"A5";"A2";"A2";"A2";"A1";"A1";"A4";"A1";"A1";"20";"1";"The Elder Scrolls V: Skyrim (2011)";"2011";"USK16";"The Binding of Isaac: Rebirth (2014)";"2014";"";"Life Is Strange ()";"";"";"Tap Titans ()";"";"";" ()";"";"";"J";"J";"T";"T";"";"2";"1";"1";"1";"";"Win";"Win";"Win";"Touch";"";"";"";"";"";"";"0";"100";"0";"15";"0";"A2";"A3";"A3";"A1";"A2";"A1";"A4";"A3";"A3";"";"";"";"";"";"";"";"2";"3";"2";"4";"4";"A0";"1";"A0";"1";"A0";"0";"A0";"0";"A0";"2";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"";"A4";"A2";"A4";"A3";"A5";"A2";"A2";"A2";"A3";"A3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"J";"J";"J";"N";"J";"N";"J";"N";"J";"N";"1";"3";"5";"2";"5";"2";"3";"3";"1";"2";"A1";"2";"A1";"2";"A2";"3";"A2";"2";"A2"
"";"1986";"1";"A1";"COAX";"100";"";"";"1";"";"";"79";"5";"A3";"1992";"A1";"A5";"A1";"A1";"A1";"A1";"A1";"A2";"A1";"A1";"40";"2";"Fallout 4 (2015)";"2015";"USK18";"Black Ops 3 (CoD) ()";"";"";"Killing Floor 2 ()";"";"";"The Elder Scrolls Online (2014)";"2014";"USK16";"Hearthstone: Heroes of Warcraft (2014)";"2014";"";"M";"M";"Q";"Q";"J";"1";"1";"1";"1";"2";"";"";"";"";"";"1T";"3T";"3T";"3T";"3T";"1000";"500";"0";"200";"0";"A5";"A5";"A4";"A2";"A5";"A4";"A5";"A3";"A2";"";"";"";"";"";"";"";"2";"1";"4";"3";"3";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"1";"A0";"0";"A0";"0";"A0";"0";"A0";"1";"";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"1";"4";"1";"1";"1";"1";"1";"0";"0";"4";"A1";"";"";"";"";"";"";"";"";"";"";"N";"A4";"J";"A1";"N";"A4";"J";"A1";"N";"A5";"J";"A1";"J";"A3";"N";"A2";"J";"A1";"J";"A1";"N";"A5";"J";"N";"J";"N";"J";"N";"J";"N";"J";"N";"3";"2";"2";"1";"2";"2";"2";"4";"1";"2";"A2";"3";"A2";"1";"A2";"2";"A2";"2";"A2"
"";"2000";"1";"A1";"DSL";"";"2";"";"1";"";"";"66";"7";"A3";"2003";"A1";"A5";"A2";"A4";"A2";"A3";"A1";"A1";"A1";"A1";"80";"2";"Rising Storm (2013)";"2013";"USK16";"Chivalry: Medieval Warfare (2014)";"2014";"USK18";"Burnout (2002)";"2002";"USK0";"Counter-Strike (2003)";"2003";"USK16";"(???) Battlefield ()";"";"";"J";"J";"T";"J";"J";"1";"1";"1";"1";"2";"";"";"";"";"";"1T";"1T";"1T";"3T";"3T";"20";"100";"0";"0";"0";"A3";"A5";"A5";"A1";"A5";"A2";"A3";"A3";"A3";"";"";"";"";"";"";"";"1";"1";"1";"3";"3";"A0";"1";"A0";"0";"A1";"1";"A1";"1";"A2";"2";"A0";"0";"A1";"2";"A1";"1";"A0";"1";"";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"1";"4";"1";"1";"0";"1";"0";"0";"1";"4";"A1";"";"";"";"";"";"";"";"";"";"";"N";"A3";"J";"A1";"N";"A2";"N";"A1";"";"";"J";"A1";"J";"A1";"J";"A1";"J";"A1";"J";"A1";"J";"A1";"J";"N";"J";"N";"J";"G";"J";"N";"J";"J";"3";"3";"3";"5";"5";"3";"2";"1";"0";"4";"A2";"5";"A2";"3";"A1";"3";"A1";"2";"A2"
"";"1984";"1";"A1";"COAX";"100";"";"";"1";"";"";"44";"9";"A3";"1990";"A1";"A5";"A1";"A1";"A1";"A4";"A1";"A4";"A1";"A1";"6";"1";"Rust (2013)";"2013";".";"Armored Warfare ()";"";"";"Dying Lihgt ()";"";"";"Spintires ()";"";"";"Subnautica ()";"";"";"T";"W";"Q";"J";"T";"1";"1";"1";"1";"1";"Win";"Win";"Win";"Win";"Win";"";"";"";"";"";"800";"300";"";"10";"";"A1";"A4";"A4";"A2";"A2";"A2";"A3";"A3";"A3";"";"";"";"";"";"";"";"1";"1";"2";"2";"3";"A2";"2";"A0";"0";"A0";"0";"";"";"A2";"2";"";"";"";"";"A0";"0";"A0";"0";"";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"3";"1";"4";"1";"1";"0";"1";"0";"0";"0";"4";"A2";"";"";"";"";"";"";"";"";"";"";"N";"";"N";"";"J";"A4";"J";"A2";"N";"";"J";"A3";"J";"A1";"N";"";"N";"";"N";"";"N";"";"J";"N";"J";"J";"J";"J";"J";"G";"J";"G";"4";"2";"4";"5";"4";"1";"3";"3";"0";"4";"A1";"5";"A1";"2";"A2";"";"";"";""
"";"1986";"1";"A1";"COAX";"200";"";"";"1";"";"";"53";"4";"A1";"1993";"A1";"A5";"A1";"A5";"A3";"A1";"A4";"A3";"A1";"A1";"45";"2";"Far Cry 4 (2014)";"2014";"USK18";"Might and Magic Heroes VII ()";"";"";"Killing Floor 2 ()";"";"";"Talex of Xillia 2 ()";"";"";"Heroes of the Storm (2015)";"2015";"USK12";"J";"T";"M";"J";"J";"1";"1";"1";"1";"1";"";"";"";"";"";"1T";"1T";"3T";"3W";"1T";"1100";"100";"50";"20";"5";"A2";"A3";"A3";"A2";"A1";"A3";"A4";"A3";"A1";"";"";"";"";"";"";"";"2";"2";"2";"2";"4";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A1";"2";"A0";"0";"A0";"0";"A0";"0";"A0";"1";"";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"1";"4";"1";"1";"0";"1";"1";"0";"0";"4";"A2";"";"";"";"";"";"";"";"";"";"";"J";"A3";"N";"A1";"J";"A2";"J";"A2";"N";"A1";"J";"A2";"J";"A4";"N";"A4";"J";"A3";"J";"A3";"N";"A2";"J";"J";"J";"G";"J";"J";"J";"J";"J";"J";"3";"2";"4";"4";"5";"2";"1";"5";"1";"4";"A1";"5";"A2";"2";"A1";"3";"A2";"3";"A1"
"";"1995";"1";"A1";"COAX";"100";"";"";"1";"";"";"45";"4";"A3";"2004";"A1";"A5";"A1";"A1";"A1";"A1";"A1";"A1";"A1";"A1";"40";"1";"World of Warcraft (2005)";"2005";"USK12";"StarCraft II: Wings of Liberty (2010)";"2010";"USK12";"Dark Souls I ()";"";"";"Fallout: New Vegas (2010)";"2010";"USK18";"Diablo III (2012)";"2012";"USK16";"5J";"J";"J";"J";"J";"1";"1";"1";"1";"1";"Win";"Win";"Win";"Win";"Win";"";"";"";"";"";"0";"170";"32";"15";"0";"A5";"A5";"A5";"A3";"A5";"A4";"A5";"A3";"A3";"";"";"";"";"";"";"";"1";"1";"3";"4";"5";"A2";"1";"A0";"0";"A0";"0";"A1";"0";"A2";"2";"A0";"0";"A1";"1";"A0";"0";"A0";"0";"";"";"";"";"";"";"";"";"";"1";"3";"1";"1";"3";"1";"3";"1";"0";"0";"1";"0";"0";"0";"3";"A3";"";"";"";"";"";"";"";"";"";"";"N";"A5";"N";"A5";"N";"A5";"J";"A2";"N";"A5";"J";"A1";"J";"A1";"N";"A5";"N";"A5";"N";"A5";"N";"A5";"N";"N";"J";"J";"J";"J";"J";"J";"J";"J";"1";"4";"2";"4";"4";"3";"3";"5";"1";"4";"A2";"3";"A2";"2";"A1";"3";"A2";"2";"A1"
"";"";"";"";"";"";"";"";"";"";"";"6";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";" ()";"";"";" ()";"";"";" ()";"";"";" ()";"";"";" ()";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";""
"";"1995";"1";"A1";"Sonst";"";"";"";"1";"";"";"62";"5";"A3";"";"A1";"A4";"A4";"A1";"A1";"A1";"A1";"A1";"A1";"A1";"35";"2";"Counter-Strike: Global Offensive (2012)";"2012";"USK16";"Rainbow Six Siege ()";"";"";"Anno 2070 (2012)";"2012";"USK6";"Team Fortress 2 (2007)";"2007";"USK18";"Dig Or Die ()";"";"";"J";"T";"J";"5J";"W";"1";"1";"1";"1";"2";"";"";"";"";"";"3T";"3T";"3W";"M";"3W";"0";"250";"0";"20";"0";"A2";"A5";"A5";"A1";"A3";"A3";"A5";"A3";"A3";"";"";"";"";"";"";"";"3";"2";"2";"5";"5";"A3";"2";"A3";"2";"A3";"2";"A2";"1";"A3";"1";"A1";"0";"A0";"1";"A0";"1";"A3";"2";"";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"1";"1";"4";"1";"1";"1";"1";"1";"0";"1";"4";"A1";"";"";"";"";"";"";"";"";"";"";"N";"";"N";"";"N";"";"N";"";"N";"";"J";"A3";"J";"A4";"N";"";"N";"";"J";"A2";"N";"";"J";"J";"J";"N";"J";"N";"J";"N";"J";"G";"4";"4";"5";"5";"5";"3";"4";"5";"1";"4";"A1";"5";"A1";"3";"A1";"1";"A2";"3";"A2"
"";"1981";"1";"A1";"DSL";"";"50";"";"1";"";"";"4";"4";"A3";"1991";"";"A5";"";"";"";"";"";"";"";"";"50";"1";"Wolfenstein: The New Order (2014)";"2014";"USK18";"wolfenstein old blood ()";"";"";"call of duty ops 2 ()";"";"";"call of duty ops 3 ()";"";"";"killing floor 2 ()";"";"";"T";"T";"J";"Q";"Q";"1";"1";"1";"1";"1";"Win";"Win";"Win";"Win";"Win";"";"";"";"";"";"630";"90";"";"20";"0";"A3";"";"";"A2";"";"";"A5";"A2";"";"";"";"";"";"";"";"";"2";"2";"1";"3";"4";"A0";"0";"A0";"0";"";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"A0";"0";"";"";"";"";"";"";"";"";"";"1";"1";"";"";"";"3";"4";"2";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"1";"1";"";"";"1";"1";"3";"1";"";"A2";"";"A2";"";"A1";"";"A2";"";"A2"
