"Unbekannter Titel"	"Nennungen"	"Schreibweise"	"Release"	"Freigabe"	"Kommentar"
"Cally´s Cave 3"	1	"Cally's Caves 3"	2016	"."	""
"Calm Down Stalin"	1	"Calm Down, Stalin"	2016	"."	""
"Case Clicker"	1	""		"."	""
"Castle Crushers"	1	"Castle Crashers"		"."	""
"Castlevania mirror of fate"	1	"Castlevania: Lords of Shadow - Mirror of Fate"		"."	""
"Castlevania(SNES)"	1	"(???) Castlevania(SNES)"		"."	""
"Cat Lady"	1	"The Cat Lady"	2012	"."	""
"Cell Lab"	1	"Cell Lab: Evolution Sandbox"		"usk0"	""
"Cerdocornio"	1	"Cerdocornio"	2016	"."	""
"Chess.com"	1	""		"."	""
"Chivalary"	1	"Chivalry: Medieval Warfare"		"."	""
"Chivalry: Medieaval Warfare"	1	"Chivalry: Medieval Warfare"		"."	""
"Chromagun"	1	"ChromaGun"	2015	"."	""
"Ciivilisation 6"	1	""		"."	"Sid Meier's Civilization VI"
"Cities: Skyline"	1	"Cities: Skylines"		"."	""
"Citiys:skyline"	1	"Cities: Skylines"		"."	""
"CIV VI"	1	""		"."	"Sid Meier's Civilization VI"
"civ6"	1	""		"."	"Sid Meier's Civilization VI"
"Civilasation V"	1	"Sid Meier's Civilization V"		"."	""
"Civilisation 6"	2	""		"."	"Sid Meier's Civilization VI"
"Civilization IV: Colonization"	1	"Sid Meier's Civilization IV: Colonization"		"."	""
"Civilization Revolution V"	1	""		"."	"Sid Meier's Civilization: Revolution"
"Civiliziation 6"	1	""		"."	"Sid Meier's Civilization VI"
"CK2"	1	"Crusader Kings II"		"."	""
"Clash royale"	1	"Clash Royale: Betritt die Arena"		"."	""
"clash royale"	1	"Clash Royale: Betritt die Arena"	2016	"usk6"	""
"Clash Royale"	2	""	2016	"usk6"	""
"Cockatrize"	1	"(???) Cockatrize"		"."	""
"CoD infinite Warfare"	1	""		"."	"Call of Duty: Infinite Warfare"
"COD IW"	1	""		"."	"Call of Duty: Infinite Warfare"
"COD Modern Warfare 2 PC Rocket V2"	1	""		"."	""
"COD:Black OPS 2"	1	"Call of Duty: Black Ops II"		"."	""
"CoD:IW"	1	""		"."	"Call of Duty: Infinite Warfare"
"Command & Conquer - Red Alert 2 - Yuri's Revenge"	1	"Command & Conquer: Alarmstufe Rot 2"		"."	""
"Cossacks Art of War"	1	""		"."	"Cossacks: The Art of War"
"Counter Srike Global Offensive"	1	""		"."	"Counter-Strike: Global Offensive"
