"Unbekannter Titel"	"Nennungen"	"Schreibweise"	"Release"	"Freigabe"	"Kommentar"
"Osiris New Dawn"	1	""		"."	""
"Out There: Omega Edition"	1	"Out There: Ω Edition"	2015	"."	""
"Overcooked"	2	""	2016	"."	""
"Overwatch (PC)"	1	""		"."	""
"Oxenfreee"	1	""		"."	""
"Paper Mario Color Splash"	1	""		"."	""
"Paragon (Epic Games)"	1	""		"."	""
"Paragon"	1	""		"."	""
"Parkitect"	1	""		"."	""
"Path of the Exile"	1	""		"."	""
"Pathfinder Adventures: Rise of the Runelords"	1	""		"."	""
"Perfect World Online"	1	""		"."	""
"PES 2017"	1	""		"."	""
"Petals (Jolla App)"	1	""		"."	""
"Phoenix Wright: Ace Attorney - Spirit of Justice"	1	""		"."	""
"Pillars of Eternitx"	1	""		"."	""
"Pinball FX 2 VR"	1	""		"."	""
"Pirate Pop Plus"	1	""		"."	""
"Planetcoaster"	1	""		"."	""
"Plantera"	1	""		"."	""
"Pokemon fan mod (Uranium)"	1	""		"."	""
"Pokemon Gelb"	1	""		"."	""
"Pokemon go"	2	""		"."	"Pokémon GO"
"Pokemon Go"	4	""		"."	"Pokémon GO"
"Pokemon moon"	1	""		"."	""
"Pokémon Moon"	1	""		"."	""
"Pokemon Moon"	5	""		"."	"Pokémon Mond"
"Pokemon Ruby"	1	""		"."	""
"Pokemon Schwarze Edition"	1	""		"."	"Pokémon: Schwarze Edition"
"Pokémon Sonne/Mond"	2	"(???) Pokémon Sonne/Mond"		"."	""
"Pokémon Sun"	1	""		"."	""
"Pokemon Sun"	5	""		"."	"Pokémon Sonne"
"Pokemon Weiß 2"	1	""		"."	""
"Pokemon: Gold"	1	""		"."	""
"Pokémon: Sonne"	1	""		"."	""
"POLYGOD"	1	""		"."	""
"Pony  Island"	1	""		"."	""
"Pool Nation VR"	1	""		"."	""
"Pro Evo 2017"	1	""		"."	"Pro Evolution Soccer 2017"
"Prompt"	1	""		"."	""
"raft (beta)"	1	""		"."	""
"Rainbow 6"	1	""		"."	""
"Rainbow Six 3: Raven Shield"	1	""		"."	""
"Rainbow: Six Siege"	1	""		"."	""
"RainbowSixSiege"	1	""		"."	"Tom Clancy's Rainbow Six Siege"
"Ratched and Clank Series"	1	""		"."	""
"Ratchet and Clank 3"	1	""		"."	"Ratchet & Clank 3"
"Ratchet und Clank"	1	""		"."	""
"Rebuild 3"	1	""		"."	""
"Red Faction: Guerrilla Steam Edition"	1	""		"."	""
"Redie"	1	""		"."	""
"Reise oft the Tomb Raider"	1	""		"."	""
"Resident Evil 0 HD"	1	""		"."	""
"Resident EviL HD REMASTER"	1	""		"."	""
"Resident Evil HD"	1	""		"."	""
"Resident Evil Remastered"	1	""		"."	""
"Retro Pixel Castle"	1	""		"."	""
"Return to Castel Wolfenstein"	1	""		"."	""
"Rhythm Paradies Megamix"	1	""		"."	""
"Riders of Icarus"	1	""		"."	""
"Rigs mcl"	1	"RIGS: Mechanized Combat League"	2016	"."	""
"Rise of the Tomb Taider"	1	""		"."	""
"Rise of the Tombraider"	1	""		"."	""
"Risen2 Dark Waters"	1	""		"."	""
"Road to Ballhalla"	1	""		"."	""
"Robotron X"	1	""		"."	""
"Rocket League (STEAM)"	1	""		"."	""
"Rome Total War I"	1	""		"."	""
"Runaway 2"	1	""		"."	""
"Runaway 3"	1	""		"."	""
"Rush of blood"	1	""		"."	""
"Rusty Lake: Roots"	1	""		"."	""
"RWBY - Grimm Eclipse"	1	"RWBY: Grimm Eclipse"	2016	"usk12"	""
"ryse son of rom"	1	""		"."	""
"Saint's Row 3"	1	""		"."	""
"Saints Row:The Third"	1	""		"."	""
"Sakura Angel"	1	""		"."	""
"Sakura Fantasy"	1	""		"."	""
"Sakura Santa"	1	""		"."	""
"Salt & Sanctuary"	2	"Salt and Sanctuary"		"."	"Salt and Sanctuary (Steam)"
"sauerbraten"	1	""		"."	""
"Score"	1	""		"."	""
"Secret Files"	1	""		"."	""
"Serious Sam VR"	1	""		"."	""
"Shadow of Modor"	1	""		"."	""
"Shadow Tactics - Blades of the Shogun"	1	""		"."	""
"Shadow Tactics"	3	""		"."	"Shadow Tactics: Blades of the Shogun (Limited Collector's Edition)"
"Shadow Taktiks Blade of The Shogun"	1	"Shadow Tactics: Blades of the Shogun"		"."	"Shadow Tactics: Blades of the Shogun (Limited Collector's Edition)"
"Shadow Warrior (2013, PC Steam)"	1	"Shadow Warrior (2013)"	2013	"."	""
"Shadow Warrior 2 (2016)"	1	""		"."	""
"Shadow Warrior 2 (STEAM)"	1	""		"."	""
"Shadowrun: Honkong"	1	""		"."	""
"Shadowrun:Hong Kong"	1	""		"."	""
"Shadows Warrior 2"	1	""		"."	""
"Shadowverse"	1	""		"."	""
"Shadwo Warrior 2"	1	""		"."	""
"Shakes und Fidget"	1	""		"."	""
"ShellShock Live"	1	""		"."	""
"Shellshock Live"	1	""		"."	""
"Sheltered"	1	"Sheltered"		"."	"Sheltered (Steam, Early Access)"
"Shenmue 1(Dreamcast)"	1	""		"."	""
"Shenzhen I/O"	1	""		"."	""
"Sid Meier’s Civilization VI"	1	""		"."	"Sid Meier's Civilization VI"
"Sid Meiers Civilation 5"	1	""		"."	""
"Sid Meiers Civilization VI"	1	""		"."	""
"Sid Meyers Civiliation"	1	""		"."	""
"Sind of a solar Empire"	1	""		"."	""
"Skat für Android"	1	""		"."	""
"Skyrim - Enderal"	1	""		"."	""
"Skyrim Classic"	1	""		"."	""
"Skyrim -Enderal"	1	""		"."	""
"Skyrim HD"	1	""		"."	""
"Skyrim LE"	1	""		"."	""
"Skyrim Remastered Edition"	1	""		"."	""
"Skyrim SE"	6	""		"."	"The Elder Scrolls V: Skyrim"
"Skyrim special Edition"	1	""		"."	""
"Skyrim Special Edition"	8	""		"."	"The Elder Scrolls V: Skyrim"
"Skyrim Special Edititon"	1	""		"."	""
"Skyrim(2011)"	1	""		"."	""
"Skyrim: Enderal"	1	""		"."	""
"Skyrim: Special Edition"	2	"The Elder Scrolls V: Skyrim"		"."	""
"Skyrin"	1	""		"."	""
"Sleeping Dogs (Remaster)"	1	"Sleeping Dogs: Definitive Edition"	2014	"."	""
"Sleeping Dogs (Uncut) Schwarzkopie, weil man es nicht Uncut in DE kaufen kann"	1	""		"."	""
"Slime Rancher"	4	""	2016	"."	""
"SlotPark"	1	""		"."	""
"Sly Trilogy (PS3)"	1	""		"."	""
"Sniper Elte 3"	1	""		"."	""
"SNIPERELITE"	1	""		"."	""
"Soccer Spirits"	1	""		"."	""
"Sorcerer Kings"	1	""		"."	""
"Sorcery!"	1	""		"."	""
"Soul Calibur 5"	1	""		"."	""
"Soundboxing"	1	""		"."	""
"Space Beast Terror Fright"	1	""		"."	""
"Space Hulk Deathwing"	1	""		"."	""
"SPAZ2"	1	""		"."	""
"Spell Force"	1	""		"."	""
"Spider Rite of the Shrouded Moon"	1	"Spider: Rite of the Shrouded Moon"	2015	"."	""
"Split Second Velocity"	1	""		"."	""
"Spyro 2"	1	""		"."	""
"stalker soc"	1	""		"."	""
"star citicen"	1	""		"."	""
"Star Realms"	1	""		"."	""
"Star Trek Armada 2"	1	""		"."	""
"Star Wars - Jedi Knight: Jedi Academy"	1	""		"."	""
"Star Wars Academy:MB2"	1	""		"."	""
"Star Wars Battelfront"	1	""		"."	""
"Star Wars Battlefront EA"	1	""		"."	""
"Star Wars Jedi Academy"	1	""		"."	""
"Star Wars Knights of the Old Republic 2"	1	""		"."	""
"Star Wars -The Force Uleashed"	1	""		"."	""
"Star Wars Tiny Death Star"	1	""		"."	""
"Star Wr"	1	""		"."	""
"Starborne"	1	""		"."	""
"starcraft I"	1	""		"."	""
"Stardew Vally"	1	""		"."	""
"Starless"	1	""		"."	""
"stayed of decay"	1	""		"."	""
"Steel Beast Pro PE"	1	""		"."	""
"Steep"	7	"Steep"		"."	"Steep (Gold Edition)"
"Steredenn"	1	""		"."	""
"Streamline"	2	""	2016	"."	""
"Subsistence"	1	""		"."	""
"Summoner's War"	1	""		"."	""
"super hot"	1	""		"."	""
"Super Mario Maker 3DS"	1	""		"."	""
"Super Mario Worlds"	1	""		"."	""
"Super Marion 3d World"	1	""		"."	""
"Super Mutant Alien Assault"	1	""	2015	"."	""
"Super Smash Bros Melee"	1	""		"."	""
"Supreme Commander Forged Alliance Forever"	1	""		"."	""
"Supreme Ruler Ultimate"	1	""		"."	""
"Svens Co-op"	2	""		"."	"Half-Life"
"SW Battlefront"	1	""		"."	"Star Wars: Battlefront"
"Sword Art Online"	1	""		"."	""
"Swordbreaker:  The Game"	1	""		"."	""
"Sykrim"	1	""		"."	""
"Sym"	1	""		"."	""
"Synonomy"	1	"(???) Synonomy"		"."	""
"Tales of Link"	1	""		"."	""
"Tales of Monkey Island"	1	""		"."	""
"Talisman: DE"	1	""		"."	""
"TechnoMage"	1	""		"."	""
"Technomage"	1	""		"."	""
"Telltale Batman"	1	""		"."	""
"Telltale The Walking Dead"	1	""		"."	""
"Teraria"	1	""		"."	""
"Terarria"	1	""		"."	""
"TES 4 Oblivion"	1	""		"."	""
"tes oblivion"	1	""		"."	""
"TES Oblivion"	2	""		"."	"The Elder Scrolls IV: Oblivion"
"TES Skyrim SE"	1	""		"."	""
"TES V: Skyrim - Specia Editionl"	1	""		"."	""
"TES V: Skyrim SE"	1	""		"."	""
"Test Drive Unlimited"	1	""		"."	""
"TESV:Skyrim Special Edition"	1	""		"."	""
"The Banner Saga 1"	1	""		"."	""
"The Batlle for Wesnoth"	1	""		"."	""
"The Black Death"	1	""		"."	""
"The divison"	1	""		"."	""
"The Divison"	2	""		"."	"Tom Clancy's The Division"
"The Dwarfes"	1	""		"."	""
"The Elder Scolls V: Skyrim - Special Edition"	1	""		"."	""
"The elder scroll: Skyrim V special edition"	1	""		"."	""
"The Elder Scrolls IV - Oblivion"	1	""		"."	""
"The Elder Scrolls IV - Skyrim"	1	""		"."	""
"The Elder Scrolls Legends"	1	""		"."	"The Elder Scrolls: Legends"
"The Elder Scrolls Skyrim SE"	1	""		"."	""
"The Elder Scrolls V Skyrim Special Edition"	1	""		"."	"The Elder Scrolls V: Skyrim"
"The Elder Scrolls V: Skyrim Special Edition"	5	""		"."	"The Elder Scrolls V: Skyrim"
"The Elder Scrolls V: Sykrim"	1	""		"."	""
"The Elder Scrolls: Legends"	1	""		"."	""
"The Elder Scrolls: Skyrim - Special Edition"	1	""		"."	""
"The Great Whale Road"	2	""	2017	"."	""
"The Legend of Zela - Link's Awakening DX (3DS Virtual Console)"	1	""		"."	""
"The Legend of Zelda - Ocarina of Time"	1	""		"."	"The Legend of Zelda: Ocarina of Time"
"The Legend of Zelda Majoras Mask 3D"	1	""		"."	""
"The Legend of Zelda Ocarina of Time 3D"	1	""		"."	""
"The Legend of Zelda Wind Waker"	1	""		"."	""
"The Legend of Zelda: A Linkt to the Past"	1	""		"."	""
"The Legend of Zelda: Tri Force Heroes"	1	""		"."	""
"The Rise of Tombraider"	1	""		"."	""
"The Simpsons"	1	"(???) The Simpsons"		"."	""
"The Solus Project"	3	""		"."	"The Solus Project  (Steam, Early Access)"
"The Sparkle Zero"	1	""		"."	"Tropico 4"
"The Spirit Engine II"	1	""		"."	""
"The Walking Dead Michonne"	1	""		"."	""
"The Walking Dead: A New Frontier"	5	""	2016	"."	""
"The Walking Dead: Michonne"	1	""		"."	""
"The Whispered Worlds"	1	""		"."	""
"the wichter 3"	1	""		"."	""
"The Witcher (1)"	1	""		"."	""
"The Witcher 3 GOTY"	1	""		"."	""
"The Witcher 3 Wildhunt"	1	""		"."	""
"The Witcher EE"	1	""		"."	""
"The Witcher enhanced e"	1	""		"."	""
"The Witcher III - Game of the Year Edition"	1	""		"."	""
"The Wolf amongst us"	1	""		"."	""
"Thief 2014"	1	""		"."	""
"Thief IV"	1	"Thief (2014)"	2014	"usk16"	""
"This War ofMine"	1	""		"."	""
"Through Abandoned 2. The Forest"	1	""		"."	""
"Tiger Knight"	1	""		"."	""
"Tiger Knight: Empire War"	1	""		"."	""
"Titan Fall 2"	2	""		"."	"Titanfall 2"
"Titan Quest Anniversary Edition"	1	""		"."	""
"Titan Quest Anniversary"	1	""		"."	""
"Titanfall 2 (PC)"	1	""		"."	""
"Titanfall2"	1	""		"."	""
"TOCA World Touring Cars"	1	""		"."	""
"Tom Clancy Rainbow Six Siege"	1	""		"."	""
"Tom Clancy's Ghost Recon - Future Soldier"	1	"Tom Clancy's Ghost Recon: Future Soldier"		"."	""
"Tom Clancys The Devision"	1	""		"."	""
"Tom Clancys The Division"	1	""		"."	""
"Tom Raider"	1	""		"."	""
"Tomb Raider:Rise of the Tomb Raider"	1	""		"."	""
"Torchligth"	1	""		"."	"Torchlight"
"Total War : Warhammer"	1	""		"."	""
"Total war Rom 2"	1	""		"."	""
"total war warhammer"	1	""		"."	""
"Total War Warhammer"	1	""		"."	""
"Total war Warhammer"	1	""		"."	""
"Totally Accurate Battle Simulator"	1	""		"."	""
"Totel War: Atilla"	1	""		"."	""
"Touhou Project"	1	""		"."	""
"Trackmania Nations 2"	1	""		"."	""
"Trackmania Turb"	1	""		"."	""
"Trackmania Turbo"	1	""		"."	""
"TrackMania²: Stadium"	1	""		"."	""
"Tribez"	1	""		"."	""
"Trine 2 Complete Edition"	1	""		"."	"Trine 2"
"Tropico4"	1	""		"."	""
"Trough the Woods"	1	""		"."	"Through the Woods"
"Tuber Simulator"	1	""		"."	""
"UFC 2"	1	""		"."	""
"Ultima 4"	1	""		"."	""
"Ultima 7"	1	""		"."	""
"Ultimate Chicken Horse"	1	""		"."	""
"Ultimate Chickenhorse"	1	""		"."	""
"Unblock Me"	1	""		"."	""
"Uncharted 1 - 4"	1	""		"."	""
"Unchartedt 4 A Thiefs End"	1	""		"."	""
"Underhell"	1	""		"."	""
"Unkilled"	1	""	2015	"."	""
"Until Dann"	1	""		"."	""
"Until dawn rush of blood"	1	""		"."	""
"VA-11 Hall-A"	1	""		"."	""
"Vampire: The Masquerade Bloodlines"	1	""		"."	"Vampire: The Masquerade - Bloodlines"
"Vampires Dawn"	1	""		"."	""
"Walking Dead Season 3"	1	""		"."	""
"War of the Overwolrd"	1	""		"."	""
"Warhammer 40k - Soulstorm"	1	""		"."	""
"Warhammer: End Times Vermintide"	1	""		"."	""
"Warhammer: endtimes vermentide"	1	""		"."	""
"Warhammer: the end times vermintide"	1	""		"."	""
"Warhammer40.000 Dawn of War II Retribution"	1	""		"."	""
"warlords battlecry III"	1	""		"."	""
"Wasteland II"	1	""		"."	"Wasteland 2"
"Watchdogs 2"	4	""		"."	"Watch Dogs 2 (Gold Edition)"
"Wayward Sky"	1	""		"."	""
"We Happy Few"	1	""		"."	""
"Where's My Mommy"	1	""		"."	""
"Widelands"	2	""	2002	"."	""
"Witcher 3 Blood and Wine"	1	""		"."	""
"Wolfenstein - The Old Blood"	1	""		"."	"Wolfenstein: The Old Blood"
"Wolfenstein NO"	1	""		"."	""
"Wolfenstein: Old Blood"	1	""		"."	""
"World of Warcraft 1"	1	""		"."	""
"World of Wasrhip"	1	""		"."	""
"Worms - WMD"	1	""		"."	""
"Worms WMD"	1	""		"."	""
"WWE2K17"	1	""		"."	""
"Xcom2"	1	""		"."	""
"Xenoverse 2"	2	""		"."	"Dragon Ball: Xenoverse 2"
"You Have to Win the Game"	1	""		"."	""
"Zelda Majoras Mask 3D"	1	""		"."	""
"ZombIdle"	1	""		"."	""
"Zup!2"	1	""		"."	""
"ZUP"	1	""		"."	""
