"Table: [Spielbezogene Hardware] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	8	8
25.0	1	9
40.0	1	10
45.0	1	11
50.0	3	14
100.0	3	17
150.0	1	18
200.0	3	21
250.0	1	22
300.0	4	26
450.0	2	28
500.0	7	35
600.0	2	37
800.0	1	38
1000.0	5	43
1500.0	1	44
2000.0	1	45
2400.0	1	46
3000.0	1	47
"."	18	65
