"Table: [Spiel 1] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Dragon Age: Inquisition"	19	19
"Far Cry 4"	16	35
"Diablo III"	13	48
"The Elder Scrolls V: Skyrim"	13	61
"Mittelerde: Mordors Schatten"	12	73
"World of Warcraft"	11	84
"Assassin's Creed: Unity"	10	94
"Call of Duty: Advanced Warfare"	9	103
"Grand Theft Auto V"	8	111
"Sid Meier's Civilization V"	8	119
"Watch_Dogs"	8	127
"Battlefield 4"	6	133
"Minecraft"	6	139
"The Elder Scrolls Online"	6	145
"The Walking Dead"	6	151
"Train Fever"	6	157
"World of Tanks"	6	163
"Elite: Dangerous"	6	169
"ArmA 3"	5	174
"Destiny"	5	179
"EVE Online"	5	184
"Star Wars: The Old Republic"	5	189
"This War of Mine"	5	194
"Wolfenstein: The New Order"	5	199
"Banished"	5	204
"Risen 3: Titan Lords"	5	209
"Forza Horizon 2"	5	214
"Alien: Isolation"	4	218
"Borderlands 2"	4	222
"The Crew"	4	226
"The Evil Within"	4	230
"The Witcher 2: Assassins of Kings"	4	234
"Total War: Rome II"	4	238
"Wasteland 2"	4	242
"Left 4 Dead 2"	4	246
"7 Days to Die"	3	249
"ArmA 2"	3	252
"Divinity: Original Sin"	3	255
"Europa Universalis IV"	3	258
"FIFA 15"	3	261
"Far Cry 3"	3	264
"Sid Meier's Civilization: Beyond Earth"	3	267
"The Last of Us"	3	270
"Dishonored: Die Maske des Zorns"	3	273
"Dragon Age: Origins"	3	276
"Murdered: Soul Suspect"	3	279
"PayDay 2"	3	282
"WildStar"	3	285
"Shadow Warrior"	3	288
"(???) Assassin's Creed"	2	290
"ArcheAge"	2	292
"Assassin's Creed III"	2	294
"Battlefield 3"	2	296
"Bedlam"	2	298
"Dark Souls II"	2	300
"Emergency 5"	2	302
"Fantasy Life"	2	304
"Gauntlet"	2	306
"Halo: Combat Evolved"	2	308
"MechWarrior Online"	2	310
"Titanfall"	2	312
"X-Plane 10"	2	314
"inFAMOUS Second Son"	2	316
"Call of Duty"	2	318
"Die Sims 4"	2	320
