"Wert"	"n"	"sum"
.00	14	14
5.00	1	15
6.99	1	16
10.00	6	22
14.00	1	23
15.00	6	29
20.00	13	42
25.00	2	44
30.00	11	55
40.00	10	65
45.00	4	69
49.99	1	70
50.00	38	108
60.00	38	146
65.00	2	148
70.00	19	167
75.00	1	168
80.00	25	193
90.00	8	201
91.39	1	202
92.00	1	203
100.00	95	298
110.00	1	299
120.00	26	325
125.00	1	326
130.00	6	332
136.00	2	334
140.00	3	337
150.00	80	417
160.00	1	418
170.00	1	419
180.00	8	427
200.00	107	534
210.00	1	535
220.00	3	538
225.00	1	539
230.00	1	540
240.00	1	541
250.00	56	597
260.00	1	598
280.00	1	599
285.00	1	600
300.00	84	684
320.00	1	685
325.00	1	686
350.00	16	702
360.00	2	704
380.00	1	705
400.00	41	746
450.00	3	749
480.00	1	750
500.00	48	798
504.00	1	799
530.00	1	800
600.00	14	814
650.00	4	818
700.00	11	829
750.00	2	831
800.00	6	837
1000.00	10	847
1100.00	1	848
1400.00	2	850
1500.00	3	853
1700.00	1	854
2000.00	2	856
3000.00	1	857
