"Wert"	"n"	"sum"
"(???) Assassin's Creed	3	3
"(???) Far Cry 3/4	1	4
"(???) Forza	1	5
"(???) Hugo	1	6
"(???) Lanwirtschaftssimulator	1	7
"(???) M.A.X.	1	8
"(???) Mass Effect Trilogy	1	9
"(???) Metro	1	10
"(???) Pokémon	2	12
"(???) The Legend of Zelda	2	14
"(???) Worms 3	1	15
"(???) X-Com	1	16
"Age of Empires	1	17
"Age of Empires II: The Age of Kings	2	19
"Alan Wake	1	20
"Alice: Madness Returns	1	21
"Alien: Isolation	4	25
"Aliens: Colonial Marines	1	26
"Anno 1404	1	27
"Anno 2070	3	30
"ArcheAge	1	31
"ArmA 2	6	37
"ArmA 3	2	39
"Assassin's Creed II	2	41
"Assassin's Creed III	2	43
"Assassin's Creed IV: Black Flag	6	49
"Assassin's Creed Rogue	1	50
"Assassin's Creed: Unity	14	64
"Assetto Corsa	1	65
"BIT.TRIP RUNNER	1	66
"Baldur's Gate	1	67
"Banished	1	68
"Batman: Arkham Origins	2	70
"Battlefield 3	8	78
"Battlefield 4	21	99
"Bayonetta	1	100
"Bayonetta 2	1	101
"BioShock Infinite	3	104
"Borderlands	2	106
"Borderlands 2	8	114
"Borderlands: The Pre-Sequel	3	117
"Brothers: A Tale of Two Sons	1	118
"Brütal Legend	1	119
"Call of Duty	1	120
"Call of Duty: Advanced Warfare	6	126
"Call of Duty: Black Ops II	1	127
"Call of Duty: Modern Warfare 2	3	130
"Castle story	1	131
"Chess 2 - The Sequel	1	132
"Child of Light	1	133
"Clash of Clans	3	136
"Company of Heroes	1	137
"Company of Heroes 2	2	139
"Counter-Strike: Global Offensive	14	153
"Counter-Strike: Source	1	154
"Dark Souls II	4	158
"Darksiders 2	1	159
"Dawn of War II	1	160
"DayZ Standalone	1	161
"Dead Island	1	162
"Dead Rising 3	1	163
"Defense Grid 2	1	164
"Deponia	1	165
"Der Herr der Ringe Online	1	166
"Destiny	4	170
"Deus Ex: Human Revolution	2	172
"Diablo III	9	181
"Die Siedler 7	1	182
"Die Sims 3	1	183
"Dishonored: Die Maske des Zorns	1	184
"Divinity: Original Sin	1	185
"Dota 2	4	189
"Dragon Age II	1	190
"Dragon Age: Inquisition	21	211
"Dragon Age: Origins	7	218
"DuckTales: Remastered	1	219
"Duke Nukem Forever	1	220
"Dungeon Siege III	1	221
"Edge of Space	1	222
"Elsword	1	223
"Emergency 4	1	224
"Endless Legend	1	225
"Enslaved: Odyssey to the West	1	226
"Europa Universalis IV	1	227
"F1 2013	1	228
"F1 2014	1	229
"F1 Race Stars	1	230
"FIFA 14	2	232
"FIFA 15	5	237
"FTL: Faster Than Light	1	238
"Fallout 3	2	240
"Fallout: New Vegas	3	243
"Far Cry 3	2	245
"Far Cry 3: Blood Dragon	2	247
"Far Cry 4	16	263
"Final Fantasy XIII-2	1	264
"Fistful of Frags	1	265
"From the Depth	1	266
"Fussball Manager 13	1	267
"GRID 2	2	269
"Game of Thrones	1	270
"Garry's Mod	5	275
"Gears of War 3	1	276
"Goat Simulator	1	277
"Gothic	1	278
"Gothic 3	2	280
"Gothic II	7	287
"Grand Theft Auto	1	288
"Grand Theft Auto IV	2	290
"Grand Theft Auto V	4	294
"Grand Theft Auto: San Andreas	1	295
"Grid Autosport	1	296
"Guild Wars 2	6	302
"Half-Life 2	3	305
"Halo - The Master Chief Collection	4	309
"Halo 4	1	310
