"Wert"	"n"	"sum"
"World of Warcraft"	5	93
"Dragon Age: Inquisition"	5	32
"World of Tanks"	4	88
"Sid Meier's Civilization V"	4	60
"The Elder Scrolls V: Skyrim"	3	77
"The Elder Scrolls Online"	2	74
"Star Wars: The Old Republic"	2	67
"Guild Wars 2"	2	43
"Call of Duty"	2	16
"Battlefield 4"	2	13
"Assassin's Creed: Unity"	2	11
"Alien: Isolation"	2	7
"XCOM: Enemy Within"	1	94
"Wasteland 2"	1	84
"War Thunder"	1	83
"Tropico 5"	1	82
"Thief"	1	81
"The Witcher"	1	80
"The Walking Dead"	1	79
"The Night of the Rabbit"	1	78
"The Elder Scrolls IV: Oblivion"	1	72
"The Crew"	1	71
"Team Fortress 2"	1	70
"Styx: Master of Shadows"	1	69
"Starcraft"	1	68
"Space Trader (Eigenproduktion)"	1	65
"Space Engieeners"	1	64
"Sir, you are being hunted"	1	63
"Sins of a Solar Empire"	1	62
"Sid Meier's Civilization: Beyond Earth"	1	61
"Sid Meier's Civilization III"	1	56
"PayDay 2"	1	55
"Path of Exile"	1	54
"Never Alone"	1	53
"Mittelerde: Mordors Schatten"	1	52
"Might & Magic X: Legacy"	1	51
"Microsoft Flight Simulator X"	1	50
"Mass Effect 3"	1	49
"Mahjong Tower"	1	48
"Left 4 Dead 2"	1	47
"LEGO Der Herr der Ringe"	1	46
"Killing Floor"	1	45
"Heroes of Might and Magic V"	1	44
"Grand Theft Auto V"	1	41
"GRID 2"	1	40
"Firefall"	1	39
"Far Cry"	1	37
"Far Cry 2"	1	38
"Fallout 2"	1	36
"Euro Truck Simulator 2"	1	35
"EVE Online"	1	34
"Dragon Age: Origins"	1	33
"Diablo"	1	26
"Diablo III"	1	27
"Defiance"	1	25
"Defense Grid 2"	1	24
"Day of Defeat: Source"	1	23
"Das Schwarze Auge: Drakensang"	1	22
"Criminal Case"	1	21
"Civilization Beyond Earth"	1	20
"Child of Light"	1	19
"Call of Duty: Black Ops II"	1	18
"Call of Duty: Advanced Warfare"	1	17
"Borderlands 2"	1	14
"Anno 2070"	1	9
"Anno 1404"	1	8
"(???) Titan"	1	5
"(???) South Park"	1	4
"(???) PanzerGeneral"	1	3
"(???) Divinity"	1	2
"(???) Assassin's Creed"	1	1
