"Table: [??? verberge/verleugne ich meine Videospielnutzung.] Auf meine Videospielnutzung haben Au??enstehende schon absch??tzig reagiert. Als Reaktion hierauf ???"	"n"	"sum"
0	9	9
1	1	10
