"Wert"	"n"	"sum"
"Pokémon: Alpha Saphir	6	432
"Pokémon: Silberne Edition SoulSilver	1	433
"Portal	1	434
"Postal 2	1	435
"Prison Architect	2	437
"Professor Layton und das Vermächtnis von Aslant	1	438
"Professor Layton vs. Phoenix Wright: Ace Att	1	439
"Prototype	1	440
"Quizduell	1	441
"Rage of Bahamut	1	442
"Rayman Legends	2	444
"Red Dead Redemption	2	446
"Remeber Me	1	447
"Resident Evil 5	1	448
"Resident Evil 6	1	449
"Risen	1	450
"Risen 3: Titan Lords	2	452
"RockBand	1	453
"Rocksmith 2014	1	454
"RollerCoaster Tycoon	2	456
"Rules!	1	457
"Rune Factory Frontier	1	458
"Saints Row IV	4	462
"Saints Row: The Third	2	464
"Sakura Spirit	1	465
"Sanctum 2	2	467
"Secret Ponchos	1	468
"Serious Sam 3: BFE	1	469
"Shakes and Fidget	1	470
"Shin Megami Tensei: Persona 3	1	471
"Sid Meier's Civilization V	3	474
"Sid Meier's Civilization: Beyond Earth	2	476
"Slenderman	1	477
"Solitär	1	478
"South Park: Der Stab der Wahrheit	1	479
"Space Age: A Game of Space Adventure	1	480
"Space Engieeners	1	481
"Spirit Stones	1	482
"Spore	1	483
"Star Trek Online	1	484
"Star Wars: Knights of the Old Republic	1	485
"StarCraft II: Wings of Liberty	1	486
"Starbound	1	487
"State of Decay	1	488
"Streetpass Mii-Lobby	1	489
"Styx: Master of Shadows	1	490
"Sunset Overdrive	1	491
"Super Hexagon	1	492
"Super Smash Bros 4	7	499
"Surgeon Simulator 2013	1	500
"Symphony	1	501
"Tales from the Borderlands	1	502
"Team Fortress 2	3	505
"Tekken	2	507
"Tesla Effect: A Tex Murphy Adventure	1	508
"The Binding of Isaac	4	512
"The Binding of Isaac: Rebirth	4	516
"The Crew	2	518
"The Curious Expedition	1	519
"The Elder Scrolls IV: Oblivion	3	522
"The Elder Scrolls Online	1	523
"The Elder Scrolls V: Skyrim	22	545
"The Evil Within	5	550
"The Forest	1	551
"The Last of Us	4	555
"The Secret World	1	556
"The Secret of Monkey Island	1	557
"The Simpsons: Springfield	3	560
"The Tiny Bang Story	1	561
"The Vanishing of Ethan Carter	2	563
"The Walking Dead	6	569
"The Witcher	2	571
"The Witcher 2: Assassins of Kings	4	575
"The Wolf Among Us	2	577
"Thief	1	578
"Thief 4	2	580
"This War of Mine	1	581
"Time Ramesside	1	582
"Titan Attacks!	1	583
"Titanfall	1	584
"To the Moon	1	585
"Tomb Raider	6	591
"Trials: Fusion	1	592
"Triple Town	1	593
"Tropico 4	1	594
"Uncharted 3	1	595
"Unreal Tournament 2004	1	596
"Vagrant Story	1	597
"Valiant Hearts: The Great War	1	598
"Valkyria Chronicles	1	599
"Vampire the Masquerade: Bloodlines	1	600
"Velvet Assassin	1	601
"Vindictus	1	602
"Violett	1	603
"Warframe	1	604
"Wasteland 2	1	605
"Watch_Dogs	3	608
"WildStar	1	609
"Wimmelbildspiele (Big Fish)	1	610
"Wolfenstein: The New Order	3	613
"World of Warcraft	18	631
"Yoshi's Story	1	632
"Zengrams	1	633
"Zombies vs. Plants	1	634
"inFAMOUS Second Son	2	636
"mushroom garden	1	637
