"Table: [… "oute" ich mich nur auf Nachfrage als Videospieler.] Auf meine Videospielnutzung haben Außenstehende schon abschätzig reagiert. Als Reaktion hierauf …"	"n"	"sum"
0	165	165
1	14	179
