"Titel"	"Anzahl"
"Theatrhythm Final Fantasy: Curtain Call"	"1"
"TheCrew"	"1"
"Thief 1-3"	"1"
"thief remake"	"1"
"This War of Mine (PC)"	"1"
"Tie Fighter"	"1"
"Time Ramesside"	"1"
"Tiny & Big in: Grandpa's Leftovers"	"1"
"Tiny & Big: Grandpa's Leftovers"	"1"
"tiny bang"	"1"
"Tiny Death Star"	"1"
"Tiny Tower"	"1"
"Tiny Troopers"	"1"
"Tiny troops"	"1"
"Titan"	"1"
"Titans Quest"	"1"
"TMNF"	"1"
"Tob Raider 2013"	"1"
"Toki Tori"	"1"
"Tom Clancy Ghost Recon"	"1"
"Tom Clancy's Ghost Phantom"	"1"
"Tom Clancy's Splinter Cell Blacklist"	"1"
"Tom Clancy's Splinter Cell Conviction"	"1"
"Tomb Raider - Alle Teile"	"1"
"Tomb Raider (2014)"	"1"
"Tomb Raider 1 + 2"	"1"
"Tomb raider 2012"	"1"
"Tomb Raider Anniversary"	"1"
"Tomb raider definitiv edition "	"1"
"Tomb Raider Definitive Edition"	"1"
"Tomb Raider I (1996)"	"1"
"Tomb Raider Tempel of Osiris"	"1"
"Tomb Raider Underworld"	"1"
"Tomb Raider: Definitive Edition"	"1"
"Tombraider "	"1"
"Tombraider anniversary"	"1"
"Tome Immortal Arena"	"1"
"Tome Raider"	"1"
"TOME: Immortal Arena"	"1"
"Tony Hawk Underground 2"	"1"
"Tony Hawk's Pro Skater 3"	"1"
"Top Eleven"	"1"
"Total War - Rome 2"	"1"
"Total War : Rome 2"	"1"
"Total War (Rome 2)"	"1"
"Total War (Spielereihe)"	"1"
"Total War Battle Kingdoms"	"1"
"Total War Battles: Kingdom"	"1"
"total war Napoléon "	"1"
"Total War ROME II - Emperor Edition"	"1"
"Total War Rome2"	"1"
"Total War: Rome2"	"1"
"Total War: Shogun 2 Fall of the Samurai"	"1"
"Total War: Shogun2 "	"1"
"Total War:Empire"	"1"
"Total War:Rome 2"	"1"
"TotalWar Rome II"	"1"
"TotalWarRome2"	"1"
"Totel war"	"1"
"Tour de France Manager 2013"	"1"
"Towerfall Ascension"	"1"
