"Table: Release1"	"n"	"sum"
1971	1	1
1986	1	2
1987	8	10
1989	3	13
1990	2	15
1991	3	18
1992	12	30
1993	8	38
1994	8	46
1995	14	60
1996	22	82
1997	77	159
1998	126	285
1999	43	328
2000	113	441
2001	69	510
2002	93	603
2003	117	720
2004	139	859
2005	436	1295
2006	286	1581
2007	258	1839
2008	225	2064
2009	1032	3096
2010	805	3901
2011	1416	5317
2012	1892	7209
2013	3068	10277
2014	5185	15462
2015	64	15526
2016	49	15575
3000	5	15580
