"Wert"	"n"	"sum"
"F1 2014"	3	1337
"Enslaved: Odyssey to the West"	3	1296
"Emergency 4"	3	1281
"Dynasty Warriors 8"	3	1272
"Dirt 3"	3	1116
"Democracy 3"	3	1043
"Darksiders 2"	3	1017
"Crusader Kings II"	3	979
"Command and Conquer 3: Tiberium Wars"	3	775
"Child of Light"	3	751
"Castlevania: Lords of Shadow"	3	748
"Call of Duty: Black Ops"	3	697
"Brothers: A Tale of Two Sons"	3	626
"BioShock 2"	3	555
"BattleBlock Theater"	3	381
"Batman: Arkham Origins"	3	378
"Batman: Arkham City"	3	375
"Banished"	3	369
"Audiosurf: Ride Your Music"	3	361
"Assassin's Creed Rogue"	3	239
"Animal Crossing: New Leaf"	3	113
"Age of Empires II: The Age of Kings"	3	83
"7 Days to Die"	3	68
"(???) Super Smash Bros."	3	57
"(???) Pok??mon"	3	51
"XCOM: Enemy Within"	2	3217
"Worms Armageddon"	2	3205
"WWE 2k14"	2	3085
"Tropico 3"	2	3054
"Transistor"	2	3046
"Train Simulator 2015"	2	3044
"TrackMania 2"	2	3038
"Tom Clancy's Splinter Cell: Conviction"	2	2989
"The Stanley Parable"	2	2911
"The Long Dark"	2	2906
"The Forest"	2	2891
"The Banner Saga"	2	2690
"Tesla Effect: A Tex Murphy Adventure"	2	2686
"Sunset Overdrive"	2	2618
"Stronghold"	2	2608
"Stronghold Crusader 2"	2	2613
"Stick Hero"	2	2605
"State of Decay"	2	2602
"Star Wars: Knights of the Old Republic"	2	2579
"Star Wars: Empire at War"	2	2577
"Star Wars: Battlefront II"	2	2575
"Spore"	2	2562
"Sleeping Dogs"	2	2533
"Sins of a Solar Empire"	2	2531
"ShootMania"	2	2495
"Serious Sam HD: The First Encounter"	2	2489
"Sanctum 2"	2	2486
"Ryse: Son of Rome"	2	2461
"Rust"	2	2459
"Risk of Rain"	2	2448
"Rise of Nations"	2	2438
"Rift"	2	2436
"Quizduell"	2	2422
"Project CARS"	2	2417
"Planetary Annihilation"	2	2355
