"Table: [Addons, DLC, Bezahlinhalte] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	16	16
5.0	1	17
10.0	1	18
20.0	3	21
25.0	1	22
30.0	5	27
40.0	1	28
45.0	1	29
50.0	4	33
70.0	1	34
100.0	4	38
150.0	2	40
200.0	1	41
10000.0	1	42
"."	501	543
