"Wert"	"n"	"sum"
1993	1	1
1996	1	2
1997	2	4
1999	1	5
2000	1	6
2002	1	7
2003	1	8
2006	1	9
2008	1	10
2009	2	12
2010	3	15
2011	4	19
2012	2	21
2013	3	24
2014	10	34
