"Table: [??? verberge/verleugne ich meine Videospielnutzung.] Auf meine Videospielnutzung haben Au??enstehende schon absch??tzig reagiert. Als Reaktion hierauf ???"	"n"	"sum"
0	61	61
1	4	65
