"Titel"	"Anzahl"
"Dragon Age: Inquisition"	236
"Assassin's Creed: Unity"	228
"Far Cry 4"	196
"Battlefield 4"	190
"Grand Theft Auto V"	184
"Counter-Strike: Global Offensive"	123
"The Elder Scrolls V: Skyrim"	123
"World of Warcraft"	119
"FIFA 15"	118
"Diablo III"	108
"Minecraft"	100
"League of Legends"	98
"Call of Duty: Advanced Warfare"	89
"Destiny"	78
"Mittelerde: Mordors Schatten"	75
"The Crew"	73
"Assassin's Creed IV: Black Flag"	57
"Sid Meier's Civilization V"	56
"Dragon Age: Origins"	54
"PayDay 2"	53
"Battlefield 3"	51
"Hearthstone: Heroes of Warcraft"	50
"Dota 2"	47
"The Evil Within"	47
"Alien: Isolation"	45
"Super Smash Bros 4"	44
"Total War: Rome II"	43
"Guild Wars 2"	42
"ArmA 2"	41
"Mario Kart 8"	41
"Europa Universalis IV"	40
"The Binding of Isaac: Rebirth"	40
"Watch_Dogs"	40
"Borderlands 2"	37
"Star Wars: The Old Republic"	37
"The Walking Dead"	36
"Borderlands: The Pre-Sequel"	35
"Far Cry 3"	35
"Pokémon Omega Rubin/Alpha Saphir"	35
"Sid Meier's Civilization: Beyond Earth"	35
"Game of Thrones"	34
"The Witcher 2: Assassins of Kings"	33
"Halo - The Master Chief Collection"	31
"World of Tanks"	30
"Company of Heroes 2"	29
"The Last of Us"	29
"ArmA 3"	27
"Star Citizen"	27
"Titanfall"	27
"Call of Duty"	26
"War Thunder"	26
"Forza Horizon 2"	25
"StarCraft II: Wings of Liberty"	25
"Wolfenstein: The New Order"	25
"Counter-Strike"	24
"Lords of the Fallen"	24
"Dark Souls II"	23
"Divinity: Original Sin"	23
"The Binding of Isaac"	22
"This War of Mine"	22
"FIFA 14"	21
"Saints Row IV"	21
"Tomb Raider"	21
"(???) Assassin's Creed"	20
"Wasteland 2"	20
"FTL: Faster Than Light"	19
"The Wolf Among Us"	19
"Banished"	18
"Clash of Clans"	18
"Halo: Combat Evolved"	18
"Pflanzen gegen Zombies: Garden Warfare"	18
"Warframe"	18
"Elite: Dangerous"	17
"Kerbal Space Program"	17
