"Table: [Spiel 2] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Dark Chronicle"	1	1
"Far Cry"	1	2
"Firefall"	1	3
"Gothic"	1	4
"Gothic 3"	1	5
"The Elder Scrolls V: Skyrim"	1	6
"The Witcher 2: Assassins of Kings"	1	7
"Wolfenstein"	1	8
"World of Warcraft"	1	9
"ArcheAge"	1	10
"Borderlands"	1	11
"Dead Rising 3"	1	12
"Far Cry 4"	1	13
"Risen 2: Dark Waters"	1	14
"Shadow Hearts"	1	15
"Survarium"	1	16
"Die Siedler – Aufstieg eines Königreichs"	1	17
"Pflanzen gegen Zombies"	1	18
"Starbound"	1	19
"Thief"	1	20
"Wolfenstein: The New Order"	1	21
"Age of Empires III"	1	22
"Loadout"	1	23
"Metro: Last Light"	1	24
"Star Wars: Commander"	1	25
"The Evil Within"	1	26
"Battlefield 3"	1	27
