"Table: [Spielbezogene Abos (regelmäßige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	27	27
11.99	1	28
20.0	1	29
25.0	1	30
30.0	3	33
50.0	2	35
60.0	3	38
100.0	2	40
110.0	1	41
120.0	1	42
"."	27	69
