"Table: [Spielbezogene Abos (regelmäßige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	28	28
26.0	1	29
30.0	2	31
39.0	1	32
40.0	2	34
50.0	1	35
80.0	2	37
90.0	1	38
100.0	3	41
200.0	1	42
"."	501	543
