"Titel"	"Kommentar"
"Final Fantasy XIV: A Realm Reborn"	""
"Firefall"	""
"Fistful of Frags"	""
"Flappy Crush"	""
"Floating Point"	""
"Flow Free: Bridges"	""
"FORCED"	""
"Forge of Empires"	""
"Formel 1 2011"	""
"Fortnite"	""
"FortressCraft Evolved!"	""
"Fractured Space"	""
"Framed"	""
"Freecol"	""
"Frets on Fire"	""
"From the Depth"	""
"Frozen: Olaf's Quest"	""
"FTL: Faster Than Light"	""
"Fuchstreff: Doppelkopf für Füchse"	""
"Fußball manager 13"	"Fussball Manager 13"
"Fußball Manager 13"	"Fussball Manager 13"
"Fußball Manager 14"	"Fussball Manager 14"
"Galaxy on Fire"	""
"Game Of Thrones Ascent"	""
"Gang Beasts"	""
"Gangsters: Organized Crime"	""
"Gardenscape"	""
"Gear Up"	""
"Gender Bender DNA Twister Extreme"	""
"Geometry Dash"	""
"Ghost Recon: Future Soldier"	""
"GODUS"	""
"Godville"	""
"Goldeneye 007 (n64)"	""
"Goodgame Empire"	""
"Gothic II - Die Nacht des Raben"	""
"Grid Autosport"	""
"Grim Dawn"	""
"Grotesque Tactics 2: Dungeons and Donuts"	""
"Guilty Gear Xrd"	""
"guitar hero 6"	""
"Guns of Icarus Online"	""
"Halo - The Master Chief Collection"	""
"Halo 5: Guardians"	""
"Happy Wheels"	""
"Hardboiled Chicken"	""
"Hashi"	""
"Hawken"	""
"Haxball"	""
"Hay Day"	""
"Hazard Ops"	""
"Helden von Camelot"	""
"Heroes & Generals"	""
"Heroes Charge"	""
"Heroes of Dragon Age"	""
"Heroes of Might and Magic 2"	""
"Heroes of Might and Magic 5"	""
"Heroes of Might and Magic 6"	""
"Heroes of storm"	""
"Heroes of the Storm"	""
"Heroine's Quest: The Herald of Ragnarok"	""
"Herrscher des Olymp – Zeus"	""
"Hex: Shards of Fate"	""
"Hexcells Infinite"	""
"Highway Racer 3D"	""
"Hill Climb Racing"	""
"Hitman"	""
"Hitman GO"	""
"Horizon 2"	""
"Hyperdimension Neptunia Re;Birth1"	""
"I am Bread"	""
"Ice Age: Die Siedlung"	""
"Ice Breaker"	""
"Idle Oil Tycoon"	""
"Imouto Ijime"	""
"Indiana Jones-greatest Adventures"	""
"inFAMOUS Second Son"	""
"Infinity Wars"	""
"InflationRPG"	""
"Ingress"	""
"Insurgency: Modern Infantry Combat"	""
"Invisible Inc."	""
"InWorldz"	""
"iRacing.com"	""
"Jazz Jackrabbit 2"	""
"Kalah!"	""
"Kantai Collection"	""
"Kenshi"	""
"Kentucky Road Zero"	""
"Kentucky Route Zero"	""
"Kingdom Come: Deliverance"	""
"Kingdom Hearts 1.5 HD Remix"	""
"Kingdom hearts 2.5 HD Remix"	""
"Kingdom Hearts II HD"	""
"Kingdom of Loathing"	""
"Kingdom Rush HD"	""
"Landmark"	""
"Landwirtschafts-Simulator 2014"	""
"Last of Us"	""
"Legacy of Kain"	""
"Legend of Grimrock 2"	""
"LEGO Batman 2"	""
"LEGO City Undercover"	""
"LEGO Movie"	""
"LEGO Pirates of the Caribbean"	""
"LEGO Star Wars"	""
"LEGO: Der Hobbit"	""
"Letter Quest: Grimm's Journey"	""
"Life is Feudal"	""
"Life is Feudal: Your Own"	""
"Little Big Planet 2"	""
"LittleBigPlanet: Karting"	""
"Live for Speed"	""
"Lux Touch"	""
"Mad Games Tycoon"	""
"Madden NFL 15"	""
"Magic 2014: Duels of the Planeswalkers"	""
"Magic 2015 - Duels of the Planeswalkers"	""
"Magic: The Gathering"	""
"Magicite"	""
"MagnaCarta 2"	""
"Mahjong Tower"	""
"Mars Effect"	""
"Marvel Heroes 2015"	""
"Marvel Puzzle Quest: Dark Reign"	""
"Marvel vs StreetFighter"	""
"Mashed"	""
"Max & Mario - Die Rache des Dr. Düster"	""
"MechWarrior Online"	""
"Melody's Escape"	""
"Merchants of Kaidan"	""
"Metal Gear Solid 5: Ground Zeroes"	""
"Might & Magic Duel of Champions"	""
"Might & Magic VI: The Mandate of Heaven"	""
"Might & Magic X: Legacy"	""
"Might & Magic: Heroes 6"	""
"Might and Magic Heroes VI"	""
"Mines of Mars"	""
"Minesweeper"	""
"Minetest"	""
"Mini Metro"	""
"MiniDayZ"	""
"Minimum"	""
"MLB 14 The Show"	""
"Monopoly App"	""
"Monopoly Plus"	""
"Monster Hunter Freedom Unite"	""
"Monstermind"	""
"Mordheim: City of the Damned"	""
"Mortal Kombat (2011)"	""
"Mount&Blade: Warband"	""
"Mountain"	""
"mushroom garden"	""
"MXGP - The Official Motocross Videogame"	""
"My Lands"	""
"My Little Pony: Friendship Is Magic"	""
"Mystery Case Files: Dire Grove, Sacred Grove"	""
"Naruto Shippuuden: Narutimate Storm Revolution"	""
"NASCAR '14"	""
"Need For Speed"	""
"Need for Speed Underground 2"	""
"Need for Speed World"	""
"Need for Speed: The Crew"	""
"Neuroshima Hex"	""
"Next Car Game: Wreckfest"	""
"Ni No Kuni"	""
"Nickelodeon's The Legend of Korra"	""
"Nimble Quest"	""
"Ninja Gaiden 3 Razor's Edge"	""
"Nitro Nation Online"	""
"Nobunaga's Ambition: Souzou"	""
"NotTetris"	""
"Nuclear Throne"	""
