"Table: [Spiel 2] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Dragon Age: Inquisition"	102	102
"Far Cry 4"	89	191
"Diablo III"	86	277
"Grand Theft Auto V"	69	346
"Assassin's Creed: Unity"	67	413
"Battlefield 4"	63	476
"The Elder Scrolls V: Skyrim"	45	521
"World of Warcraft"	43	564
"Mittelerde: Mordors Schatten"	33	597
"The Evil Within"	33	630
"FIFA 15"	31	661
"Call of Duty: Advanced Warfare"	30	691
"Destiny"	30	721
"Sid Meier's Civilization V"	29	750
"Alien: Isolation"	28	778
"Dragon Age: Origins"	28	806
"Borderlands: The Pre-Sequel"	26	832
"Hearthstone: Heroes of Warcraft"	26	858
"Sid Meier's Civilization: Beyond Earth"	24	882
"Mario Kart 8"	23	905
"The Crew"	23	928
"Borderlands 2"	21	949
"StarCraft II: Wings of Liberty"	21	970
"Minecraft"	20	990
"Super Smash Bros 4"	19	1009
"The Walking Dead"	19	1028
"PayDay 2"	18	1046
"Far Cry 3"	17	1063
"Lords of the Fallen"	17	1080
"Forza Horizon 2"	16	1096
"Wasteland 2"	16	1112
"World of Tanks"	16	1128
"League of Legends"	15	1143
"Assassin's Creed IV: Black Flag"	13	1156
"Counter-Strike: Global Offensive"	13	1169
"Guild Wars 2"	13	1182
"Halo - The Master Chief Collection"	13	1195
"Star Wars: The Old Republic"	13	1208
"Wolfenstein: The New Order"	13	1221
"ArmA 2"	12	1233
"Euro Truck Simulator 2"	12	1245
"The Last of Us"	12	1257
"Titanfall"	12	1269
"Watch_Dogs"	12	1281
"Divinity: Original Sin"	11	1292
"FTL: Faster Than Light"	11	1303
"The Witcher 2: Assassins of Kings"	11	1314
"Dark Souls II"	10	1324
"Heroes of the Storm"	10	1334
"The Last of Us: Remastered"	10	1344
"This War of Mine"	10	1354
"ArmA 3"	9	1363
"Banished"	9	1372
"Crusader Kings II"	9	1381
"Half-Life 2"	9	1390
"Mass Effect"	9	1399
"Path of Exile"	9	1408
"Risen 3: Titan Lords"	9	1417
"Team Fortress 2"	9	1426
"The Binding of Isaac: Rebirth"	9	1435
"Tomb Raider"	9	1444
"War Thunder"	9	1453
"Bayonetta 2"	8	1461
"Dota 2"	8	1469
"Elite: Dangerous"	8	1477
"Europa Universalis IV"	8	1485
"Fallout: New Vegas"	8	1493
"Saints Row IV"	8	1501
"South Park: Der Stab der Wahrheit"	8	1509
"Star Trek Online"	8	1517
"Prison Architect"	8	1525
"The Wolf Among Us"	8	1533
"(???) Super Smash Bros."	7	1540
"Battlefield 3"	7	1547
"Dishonored: Die Maske des Zorns"	7	1554
"Don't Starve"	7	1561
"Final Fantasy XIII"	7	1568
"Final Fantasy XIV: A Realm Reborn"	7	1575
"Killing Floor"	7	1582
"Landwirtschafts-Simulator 2015"	7	1589
"Left 4 Dead 2"	7	1596
"Planetside 2"	7	1603
"Pro Evolution Soccer 2015"	7	1610
"Total War: Rome II"	7	1617
"Valkyria Chronicles"	7	1624
"MechWarrior Online"	7	1631
"Anno 2070"	6	1637
"EVE Online"	6	1643
"Grand Theft Auto IV"	6	1649
"Kerbal Space Program"	6	1655
"Star Citizen"	6	1661
"The Binding of Isaac"	6	1667
"Clash of Clans"	6	1673
"Die Sims 4"	6	1679
"Mass Effect 3"	6	1685
"Driveclub"	6	1691
"Solitär"	6	1697
"(???) X-Com"	5	1702
"Anno 1404"	5	1707
"Assassin's Creed III"	5	1712
"Assetto Corsa"	5	1717
"Company of Heroes 2"	5	1722
"Counter-Strike"	5	1727
"Dead Island"	5	1732
"Fallout 3"	5	1737
"Legend of Grimrock 2"	5	1742
"Sunset Overdrive"	5	1747
"The Elder Scrolls Online"	5	1752
"Train Fever"	5	1757
"Call of Duty: Black Ops II"	5	1762
"GRID 2"	5	1767
"Game of Thrones"	5	1772
"LEGO Marvel Super Heroes"	5	1777
"(???) Assassin's Creed"	4	1781
2048	4	1785
"ArcheAge"	4	1789
"Batman: Arkham Origins"	4	1793
"Das Schwarze Auge: Blackguards"	4	1797
"Dreamfall Chapters: The Longest Journey"	4	1801
"Dungeon of the Endless"	4	1805
"Forza Motorsport 5"	4	1809
"Hyrule Warriors"	4	1813
"Mount&Blade: Warband"	4	1817
"NBA 2k15"	4	1821
"Neverwinter Nights 2"	4	1825
"Papers, Please"	4	1829
"Quake Live"	4	1833
"Rocksmith 2014"	4	1837
"The Long Dark"	4	1841
"The Witcher"	4	1845
"Thief"	4	1849
"Warcraft III: Reign of Chaos"	4	1853
"Warframe"	4	1857
"XCOM: Enemy Unknown"	4	1861
"inFAMOUS Second Son"	4	1865
"Alan Wake"	4	1869
"Brothers: A Tale of Two Sons"	4	1873
"Call of Duty"	4	1877
"Mortal Kombat (2011)"	4	1881
"Portal 2"	4	1885
"Spec Ops: The Line"	4	1889
"Ni No Kuni"	4	1893
"Pflanzen gegen Zombies: Garden Warfare"	4	1897
"Quizduell"	4	1901
"(???) Battlefield"	3	1904
"7 Days to Die"	3	1907
"Bayonetta"	3	1910
"Command and Conquer 3: Tiberium Wars"	3	1913
"Crysis 3"	3	1916
"Deponia"	3	1919
"Deus Ex: Human Revolution"	3	1922
"Dragon Age II"	3	1925
"FIFA 13"	3	1928
"Factorio"	3	1931
"Fantasy Life"	3	1934
"Halo: Combat Evolved"	3	1937
"LEGO Batman 3: Beyond Gotham"	3	1940
"Monument Valley"	3	1943
"Pokémon: Alpha Saphir"	3	1946
"Sid Meier's Civilization IV"	3	1949
"Starbound"	3	1952
"The Simpsons: Springfield"	3	1955
"Castlevania: Lords of Shadow 2"	3	1958
"FIFA 14"	3	1961
"Far Cry 2"	3	1964
"Final Fantasy X"	3	1967
"Goat Simulator"	3	1970
"Loadout"	3	1973
"Max Payne 3"	3	1976
"Mini Metro"	3	1979
"Nosgoth"	3	1982
"Resident Evil: Revelations"	3	1985
"Spelunky"	3	1988
"Tales from the Borderlands"	3	1991
"The Vanishing of Ethan Carter"	3	1994
"Vampire the Masquerade: Bloodlines"	3	1997
"Wolfenstein"	3	2000
"Borderlands"	3	2003
"Call of Duty: Ghosts"	3	2006
"Company of Heroes"	3	2009
"Dead Rising 3"	3	2012
"Enslaved: Odyssey to the West"	3	2015
"Metro 2033 Redux"	3	2018
"Minesweeper"	3	2021
"Pinball FX2"	3	2024
"Ultra Street Fighter IV"	3	2027
"A Bird Story"	3	2030
"Chivalry: Medieval Warfare"	3	2033
"Geheimakte 3"	3	2036
"Injustice: Gods Among Us"	3	2039
"Assassin's Creed II"	2	2041
"Assassin's Creed Rogue"	2	2043
"Assassin's Creed: Brotherhood"	2	2045
"BioShock Infinite"	2	2047
"Child of Light"	2	2049
"Demon's Souls"	2	2051
"Duke Nukem 3D"	2	2053
"Duke Nukem Forever"	2	2055
"Dungeons & Dragons: Neverwinter"	2	2057
"Far Cry 3: Blood Dragon"	2	2059
"Final Fantasy X HD Remaster"	2	2061
"Giana Sisters: Twisted Dreams (Limited Editi"	2	2063
"Grid Autosport"	2	2065
"Hawken"	2	2067
"Hitman: Absolution"	2	2069
"Insurgency: Modern Infantry Combat"	2	2071
"Lichdom: Battlemage"	2	2073
"Mafia II"	2	2075
"Mass Effect 2"	2	2077
"Metro 2033"	2	2079
"Might & Magic: Clash of Heroes"	2	2081
"Natural Selection 2"	2	2083
"Outlast (GOG)"	2	2085
"Panzer Corps: Wehrmacht"	2	2087
"Pflanzen gegen Zombies"	2	2089
"Pro Evolution Soccer 2013"	2	2091
"Red Dead Redemption"	2	2093
"Remeber Me"	2	2095
"Space Run"	2	2097
"Styx: Master of Shadows"	2	2099
"Super Street Fighter IV"	2	2101
"The Swapper"	2	2103
"Threes!"	2	2105
"War in the Pacific"	2	2107
