"Table: [Spielbezogene Hardware] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	38	38
10.0	1	39
20.0	2	41
30.0	2	43
35.0	1	44
50.0	3	47
55.0	1	48
70.0	2	50
80.0	1	51
100.0	1	52
150.0	2	54
200.0	4	58
250.0	1	59
280.0	1	60
300.0	9	69
325.0	1	70
350.0	1	71
400.0	10	81
480.0	1	82
500.0	8	90
600.0	10	100
700.0	1	101
900.0	1	102
1000.0	9	111
1100.0	1	112
1200.0	1	113
1220.0	1	114
1500.0	1	115
1700.0	1	116
2000.0	1	117
2600.0	1	118
