"Wert"	"n"	"sum"
"(???) phoenix Wright Reihe	1	353
"(???) price grab	1	354
"(???) simpsons spiel fuer android	1	355
"(???) ufc	3	358
"(???) viele Indie-Puzzle/Adventure-Spiele	1	359
"0 A.D.	1	360
"0h h1	1	361
"100% Orange Juice	2	363
10000000	1	364
2048	13	377
"3 Gewinnt (Big Fish)	1	378
"4 Bilder ein Wort	1	379
"7 Days to Die	23	402
"8 Ball Pool Billard	1	403
"80 days	1	404
"A Bird Story	11	415
"A Game of Dwarves	2	417
"A New Beginning	2	419
"APB: Reloaded	2	421
"AVA - Alliance of Valiant Arms	1	422
"AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome	1	423
"Aarklash: Legacy	1	424
"Academagia: The Making of Mages	1	425
"Ace Combat 6: Fires of Liberation	1	426
"Ace Combat: Infinity	1	427
"Ace of Spades	2	429
"Act of War: Direct Action	1	430
"Action Henk	1	431
"Advance Wars: Dual Strike	1	432
"Adventure Town	1	433
"Age Of Wonders	1	434
"Age of Chivalry	1	435
"Age of Conan	1	436
"Age of Empires	5	441
"Age of Empires II HD	15	456
"Age of Empires II: The Age of Kings	28	484
"Age of Empires III	5	489
"Age of Empires: Castle Siege	2	491
"Age of Mythology	3	494
"Age of Mythology (Extended Edition)	4	498
"Age of Wonders II: Der Zirkel der Zauberer	1	499
"Age of Wonders III	8	507
"Aion	4	511
"Airline Tycoon	2	513
"Airline Tycoon 2	1	514
"Alan Wake	15	529
"Alan Wake's American Nightmare	1	530
"Alarm für Cobra 11: Das Syndikat	1	531
"Alice: Madness Returns	9	540
"Alien Hive	1	541
"Alien Isolation	1	542
"Alien Rage: Unlimited	1	543
"Alien Swarm	1	544
"Alien: Isolation	117	661
"Aliens vs Predators (2010)	1	662
"Aliens: Colonial Marines	6	668
"Alpha Protocol	2	670
"Altitude	1	671
"Alundra	1	672
"Always Sometimes Monsters	5	677
"Amazing Alex	1	678
"Amazing Ninja	1	679
"Amnesia: A Machine for Pigs	2	681
"Amnesia: The Dark Descent	1	682
"Anarchy Online	1	683
"Anarchy Reigns	1	684
"Angry Birds	5	689
"Angry Birds Rio	1	690
"Angry Birds Transformers	1	691
"Angry Birds: Star Wars	1	692
"Animal Crossing: New Leaf	8	700
"Anno 1404	26	726
"Anno 1503	1	727
"Anno 1602: Erschaffung einer neuen Welt	2	729
"Anno 1701	3	732
"Anno 2070	31	763
"Anno Online	2	765
"Anstoss 3	1	766
"Antichamber	4	770
"Anvil of Dawn	1	771
"AquaNox 2: Revelation	2	773
"Ar nosurge: Ode to an Unborn Star	1	774
"Arcana Heart 3: LOVE MAX!!!!!	1	775
"Arcania: Gothic 4	1	776
"Arcanum: Von Dampfmaschinen und Magie	2	778
"ArcheAge	22	800
"ArcheBlade	2	802
"Arena : Cyber Evolution	1	803
"ArmA 2	116	919
"ArmA 3	106	1025
"ArmA: Armed Assault	1	1026
"Armed Assault 3‎	1	1027
"Armies of Exigo	1	1028
"Army of Darkness: Defense	1	1029
"Army of Two	1	1030
"Art of Balance	1	1031
"Asphalt 8: Airborne	4	1035
"Assassin's Creed	1	1036
"Assassin's Creed II	25	1061
"Assassin's Creed III	44	1105
"Assassin's Creed IV: Black Flag	120	1225
"Assassin's Creed Rogue	26	1251
"Assassin's Creed Unity	1	1252
"Assassin's Creed: Brotherhood	11	1263
"Assassin's Creed: Revelations	15	1278
"Assassin's Creed: Unity	474	1752
"Assassins Creed Black Flag	1	1753
"Assassins Creed Unity	3	1756
"Assetto Corsa	14	1770
"Audiosurf 2	3	1773
"Audiosurf: Ride Your Music	8	1781
"Aura Kingdom	3	1784
"Awesomenauts	6	1790
"Azkend	1	1791
"BIT.TRIP RUNNER	1	1792
"Back to the Future: The Game	2	1794
"Bad Piggies	2	1796
"Badland (2013)	1	1797
"Baldur's Gate	11	1808
"Baldur's Gate 2: Schatten von Amn	10	1818
"Baldur's Gate: Enhanced Edition	4	1822
"Bang Bang Racing	1	1823
"Banished	40	1863
"Banner Saga	6	1869
"Baphomets Fluch (1996)	1	1870
"Baphomets Fluch: Der Sündenfall	1	1871
"Bastion	5	1876
"Batman: Arkham Asylum	7	1883
"Batman: Arkham City	16	1899
"Batman: Arkham Knight	1	1900
"Batman: Arkham Origins	21	1921
"Battle Island	2	1923
"Battle Realms	1	1924
"BattleBlock Theater	14	1938
"Battlefield 1942	2	1940
"Battlefield 2	6	1946
"Battlefield 3	118	2064
"Battlefield 4	439	2503
"Battlefield 4/Final Stand	1	2504
"Battlefield Heroes	3	2507
"Battlefield Play4Free	1	2508
"Battlefield: Bad Company	1	2509
"Battlefield: Bad Company 2	16	2525
"Bayonetta	12	2537
"Bayonetta 2	27	2564
"BeamNG.drive	1	2565
"Beasts of Prey	1	2566
"Beat Hazard	4	2570
"Bedlam	2	2572
"Bejeweled	2	2574
"Bejeweled 3	2	2576
"Bernd Das Brot Und Die Unmöglichen	1	2577
"Betrayer	1	2578
"Beyond Good & Evil	5	2583
"Beyond: Two Souls	5	2588
"Bike Rivals	1	2589
"BioShock 2	7	2596
"BioShock Infinite	46	2642
"Biohazard rebirth	1	2643
"Bioshock	16	2659
"Bit.Trip.Runner	1	2660
"Bit.Trip.Runner 2	1	2661
"Black & White 2	1	2662
"Blacklight Retribution	1	2663
"Blackshot	1	2664
"Blackwell Unbound	1	2665
"Bladestorm: Der Hundertjährige Krieg	1	2666
"Bleach - Soul Resurreccion	1	2667
"Blendoku	1	2668
"Blitz Brigade	1	2669
"Blobby Volley	1	2670
"Blobby Volley 2	1	2671
"Blockstorm	1	2672
"Blood 2	2	2674
"Blood Bowl	3	2677
"BloodRayne	3	2680
