"Table: [??? gehe ich offensiv mit dem Thema um - in dem ich z.B. Kleidung mit Games-Motiven trage.] Auf meine Videospielnutzung haben Au??enstehende schon absch??tzig reagiert. Als Reaktion hierauf ???"	"n"	"sum"
0	67	67
1	2	69
