"Table: [Eigene Gameserver (bei Clans: dein Anteil)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	444	444
2.0	2	446
5.0	5	451
10.0	3	454
12.0	2	456
20.0	2	458
30.0	5	463
32.0	1	464
35.0	1	465
36.0	1	466
45.0	1	467
50.0	4	471
56.0	1	472
60.0	1	473
70.0	1	474
100.0	5	479
120.0	3	482
150.0	1	483
200.0	2	485
