"Table: [… "oute" ich mich nur auf Nachfrage als Videospieler.] Auf meine Videospielnutzung haben Außenstehende schon abschätzig reagiert. Als Reaktion hierauf …"	"n"	"sum"
0	3942	3942
1	470	4412
