"Table: [Spiel 1] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"To the Moon (2012)"	5	23579
"Candy Crush (2012)"	5	23584
"I am Bread (.)"	5	23589
"Need For Speed (.)"	5	23594
"Age of Mythology (Extended Edition) (2014)"	4	23598
"Aion (2009)"	4	23602
"Antichamber (2013)"	4	23606
"Asphalt 8: Airborne (.)"	4	23610
"Deadpool (2013)"	4	23614
"Die Siedler Online (2012)"	4	23618
"Duke Nukem 3D ()"	4	23622
"Dungeon Keeper 2 (1999)"	4	23626
"Fussball Manager 12 (2011)"	4	23630
"Hard Reset (Extended Edition) (2012)"	4	23634
"Hay Day (2012)"	4	23638
"Hearts of Iron II (2005)"	4	23642
"Ingress (2012)"	4	23646
"Lords of Xulima (2014)"	4	23650
"Metal Gear Solid 2: Sons of Liberty ()"	4	23654
"Metal Gear Solid 5: Ground Zeroes (2014)"	4	23658
"Natural Selection 2 (2012)"	4	23662
"Persona Q: Shadow of the Labyrinth (2014)"	4	23666
"Pokémon: Silberne Edition (2001)"	4	23670
"Race Driver: GRID (2008)"	4	23674
"Shakes and Fidget (2009)"	4	23678
"Sniper Elite V2 (2012)"	4	23682
"Super Mario World (1992)"	4	23686
"Tekken Tag Tournament 2 (2012)"	4	23690
"The Witcher Adventure Game (2014)"	4	23694
"Threes! (2014)"	4	23698
"Tom Clancy's Ghost Recon: Phantoms (2014)"	4	23702
"Wargame: Red Dragon (2014)"	4	23706
"(???) Divinity ()"	4	23710
"Call of Juarez (2006)"	4	23714
"Candy Crush Soda Saga (2014)"	4	23718
"Command & Conquer: Generals (2003)"	4	23722
"Cytus (2012)"	4	23726
"Das Schwarze Auge: Drakensang (2008)"	4	23730
"Deadly Premonition (2010)"	4	23734
"Dungeon Keeper (1997)"	4	23738
"Euro Truck Simulator (2008)"	4	23742
"F1 2013 (2013)"	4	23746
"FIFA World (2013)"	4	23750
"Forza Horizon (2012)"	4	23754
"Gears of War (2006)"	4	23758
"Icewind Dale (2000)"	4	23762
"Killer Instinct (1995)"	4	23766
"Marvel Puzzle Quest: Dark Reign (.)"	4	23770
"Monster Hunter 3 Ultimate (2013)"	4	23774
"Need for Speed: Hot Pursuit (2010)"	4	23778
"Plague Inc. Evolved (2014)"	4	23782
"Rayman Origins (2012)"	4	23786
"Resident Evil 6 (2012)"	4	23790
"Return to Castle Wolfenstein (2001)"	4	23794
"The Cat Lady (2012)"	4	23798
"The Simpsons: Tapped Out (.)"	4	23802
"Transistor (2014)"	4	23806
"Trine 2 (2012)"	4	23810
"Unturned (2014)"	4	23814
"Vindictus (2010)"	4	23818
"(???) South Park ()"	4	23822
"Baldur's Gate: Enhanced Edition (2013)"	4	23826
"Beat Hazard (2010)"	4	23830
"Blur (2010)"	4	23834
"Diablo (1996)"	4	23838
"Frozen Synapse (2011)"	4	23842
"Master of Orion II: Battle at Antares (1996)"	4	23846
"Medal of Honor: Warfighter (2012)"	4	23850
"Nuclear Throne (2013)"	4	23854
"RaceRoom Racing Experience (2013)"	4	23858
"Resident Evil: Darkside Chronicles (2010)"	4	23862
"RollerCoaster Tycoon ()"	4	23866
"Supreme Commander 2 (2010)"	4	23870
"Verdun (2013)"	4	23874
"WWE 2k14 (2013)"	4	23878
"Warhammer 40,000: Space Marine (2011)"	4	23882
"Bravely Default (2014)"	4	23886
"New Super Mario Bros. U (2012)"	4	23890
"(???) Forza ()"	3	23893
"(???) Mario Party ()"	3	23896
"Age of Mythology (2002)"	3	23899
"Anno 1701 (2006)"	3	23902
"Battlefield Heroes (2009)"	3	23905
"Call of Duty 2 ()"	3	23908
"Defense Grid: The Awakening (2009)"	3	23911
"Deponia: The Complete Journey (.)"	3	23914
"Dungeon Defenders II (2014)"	3	23917
"Final Fantasy XIII-2 (2012)"	3	23920
"Giana Sisters: Twisted Dreams (Limited Edition) (.)"	3	23923
"Guacamelee! (2013)"	3	23926
"Jagged Alliance: Back in Action (2012)"	3	23929
"LEGO Star Wars ()"	3	23932
"LEGO: Der Hobbit (2014)"	3	23935
"LYNE (2014)"	3	23938
"Magic 2014: Duels of the Planeswalkers (2013)"	3	23941
"Magic 2015 - Duels of the Planeswalkers (2014)"	3	23944
"Microsoft Flight Simulator X ()"	3	23947
"MotoGP 14 (2014)"	3	23950
"NHL 14 (2013)"	3	23953
"OpenTTD (2010)"	3	23956
"Pro Evolution Soccer 2013 (2012)"	3	23959
"R.U.S.E. (2010)"	3	23962
"Sid Meier's Civilization II (1996)"	3	23965
"Space Run (.)"	3	23968
"Star Made (2014)"	3	23971
"Starpoint Gemini 2 (2014)"	3	23974
"Super Street Fighter IV (2010)"	3	23977
"The Legend of Zelda: A Link to the Past (2002)"	3	23980
"The Saboteur (2009)"	3	23983
"Thief 4 (2004)"	3	23986
"TransOcean: The Shipping Company (.)"	3	23989
"Tron 2.0 (2004)"	3	23992
"Wolfenstein: Enemy Territory (2003)"	3	23995
"X-Plane 10 (2012)"	3	23998
"(???) Professor Layton ()"	3	24001
"Assassins Creed Unity (2014)"	3	24004
"Aura Kingdom (2013)"	3	24007
"BloodRayne (2003)"	3	24010
"Broken Age (2014)"	3	24013
"Der Herr der Ringe: Die Schlacht um Mittelerde 2 (2006)"	3	24016
"Divinity 2: Ego Draconis (2010)"	3	24019
"Dungeon Defenders (2011)"	3	24022
"Empire Earth (2001)"	3	24025
"FIFA 12 (2011)"	3	24028
"Five Nights at Freddy's (2014)"	3	24031
"Galactic Civilizations III (2014)"	3	24034
"Gears of War 2 (2008)"	3	24037
"Grand Theft Auto III ()"	3	24040
"Guns of Icarus Online (2012)"	3	24043
"Jazzpunk (2014)"	3	24046
"LEGO Batman 2 (2012)"	3	24049
"Mario Kart Wii (2008)"	3	24052
"Max Payne (2001)"	3	24055
"Max Payne 2: The Fall of Max Payne (2003)"	3	24058
"Memoria (2013)"	3	24061
"Men of War: Assault Squad 2 (2014)"	3	24064
"Mini Metro (2014)"	3	24067
"Naruto Shippuden: Ultimate Ninja Storm Revolution (2014)"	3	24070
"One Finger Death Punch (2013)"	3	24073
"Project Zomboid (2013)"	3	24076
"Resident Evil 5 (2009)"	3	24079
"Runescape (1999)"	3	24082
"Secret of Mana (2010)"	3	24085
"Serious Sam HD: The First Encounter (2011)"	3	24088
"Sherlock Holmes: Crimes and Punishments (2014)"	3	24091
"Spelunky (2013)"	3	24094
"Stonehearth (2015)"	3	24097
"Survarium (.)"	3	24100
"System Shock 2 (2013)"	3	24103
"Tesla Effect: A Tex Murphy Adventure (2014)"	3	24106
"Tom Clancy's Splinter Cell: Conviction (2010)"	3	24109
"Tomb Raider: Definitive Edition (2014)"	3	24112
"Ultima Online (1997)"	3	24115
"Unreal Tournament 2004 (2004)"	3	24118
"Warhammer 40,000: Dawn of War II (2010)"	3	24121
"(???) Anno ()"	3	24124
"(???) Rayman ()"	3	24127
"(???) Uncharted ()"	3	24130
"(???) ufc ()"	3	24133
"Bloons Tower Defense 5 (2012)"	3	24136
"Dawn of War (2004)"	3	24139
"Dead Space 2 (2011)"	3	24142
"Die Siedler III (1998)"	3	24145
"Die Sims 2 (2004)"	3	24148
"Fez (2014)"	3	24151
"Geometry Dash (2014)"	3	24154
"Grand Theft Auto: Vice City (2003)"	3	24157
"Hammerwatch (2013)"	3	24160
"Helden von Camelot (.)"	3	24163
"Infestation (2000)"	3	24166
"Journey (2012)"	3	24169
"Kingdom Hearts 1.5 HD Remix (.)"	3	24172
"Pokémon: Silberne Edition SoulSilver (2010)"	3	24175
"RESOGUN (2013)"	3	24178
"RETRY (2014)"	3	24181
"Sim City (2013) (2013)"	3	24184
"Stronghold (2003)"	3	24187
"Surgeon Simulator 2013 (2013)"	3	24190
"Tales of Xillia 2 (2012)"	3	24193
"Terra Battle (.)"	3	24196
"The Book of Unwritten Tales 2 (2014)"	3	24199
"The Darkness II (2012)"	3	24202
"The Legend Of Zelda: Skyward Sword (2011)"	3	24205
"Uncharted 2: Among Thieves (2009)"	3	24208
"Audiosurf 2 (2013)"	3	24211
"Blood Bowl (2009)"	3	24214
"Dirt 2 (2009)"	3	24217
"Freelancer (2003)"	3	24220
