"Table: [??? "oute" ich mich nur auf Nachfrage als Videospieler.] Auf meine Videospielnutzung haben Au??enstehende schon absch??tzig reagiert. Als Reaktion hierauf ???"	"n"	"sum"
0	675	675
1	72	747
