"Table: [Eigene Gameserver (bei Clans: dein Anteil)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	34	34
2.0	1	35
5.0	2	37
10.0	1	38
15.0	1	39
29.0	1	40
30.0	1	41
48.0	1	42
50.0	2	44
100.0	1	45
600.0	1	46
"."	23	69
