"Titel"	"Anzahl"
"Final Fantasy X HD Remaster"	3
"Final Fantasy XIV: A Realm Reborn"	3
"Five Nights at Freddy's"	3
"Game Dev Tycoon"	3
"Heroes of the Storm"	3
"Hotline Miami"	3
"Magicka"	3
"Mario Kart Wii"	3
"Marvel Puzzle Quest: Dark Reign"	3
"Men of War: Assault Squad 2"	3
"Metal Gear Solid 2: Sons of Liberty"	3
"Monaco: What's Yours is Mine"	3
"Mortal Kombat (2011)"	3
"Mount""Mount and Blade Warband""Blade: Warband"	3
"Murdered: Soul Suspect"	3
"Napoleon: Total War"	3
"Neverwinter Nights"	3
"Nosgoth"	3
"PayDay"	3
"Pinball FX2"	3
"Plague Inc: Evolved"	3
"Portal"	3
"Quizduell"	3
"Red Dead Redemption"	3
"S.T.A.L.K.E.R.: Call of Pripyat"	3
"Shadowrun: Dragonfall"	3
"Sniper Elite 3"	3
"Sniper Elite V2"	3
"Super Meat Boy"	3
"Torchlight II"	3
"Train Fever"	3
"Tropico 3"	3
"Valiant Hearts: The Great War"	3
"Vindictus"	3
"Wolfenstein"	3
"X3: Terran Conflict"	3
"(???) Fifa"	2
"(???) Mario Kart"	2
"(???) Mass Effect Trilogy"	2
"(???) SimCity"	2
"(???) X-Com"	2
"Age of Empires"	2
"Age of Empires III"	2
"Age of Wonders III"	2
"Aliens: Colonial Marines"	2
"Animal Crossing: New Leaf"	2
"Antichamber"	2
"Arcanum: Von Dampfmaschinen und Magie"	2
"ArcheBlade"	2
"Awesomenauts"	2
"Baldur's Gate"	2
"Bastion"	2
"Batman: Arkham Asylum"	2
"Bayonetta 2"	2
"Bedlam"	2
"BioShock 2"	2
"Blood 2"	2
"Boom Beach"	2
"Braid"	2
"Broforce"	2
"Brütal Legend"	2
"Bulletstorm"	2
"Call of Duty: Ghosts"	2
"Castlevania: Lords of Shadow 2"	2
"Command and Conquer 3: Tiberium Wars"	2
"Contagion"	2
"Crimsonland"	2
"Crysis 3"	2
"Dead Island: Riptide"	2
"Defense Grid 2"	2
"Defense Grid: The Awakening"	2
"Deponia"	2
"Devil May Cry"	2
"Dirt 3"	2
"Dofus"	2
"Dungeon Defenders"	2
"Dungeons ""Neverwinter Online"" Dragons: Neverwinter"	2
"Dungeons ""Neverwinter"" Dragons: Neverwinter"	2
"Dynasty Warriors 8"	2
"Europa Universalis"	2
"F1 2013"	2
"Fallout 2"	2
"FIFA 14"	2
"Fire Emblem: Awakening"	2
"Fistful of Frags"	2
"Forza Horizon 2"	2
"Grand Theft Auto III"	2
"Gunpoint"	2
"Guns of Icarus Online"	2
"Halo: Combat Evolved"	2
"Halo: Spartan Assault"	2
"Hard Reset (Extended Edition)"	2
"Hearts of Iron II"	2
"Hearts of Iron III"	2
"Helden von Camelot"	2
"Hero Siege"	2
"Hitman: Contracts"	2
"inFAMOUS Second Son"	2
"Just Cause"	2
"King's Bounty: Warriors of the North"	2
"Kingdom Rush"	2
"Kingdoms of Amalur: Reckoning"	2
"Knack"	2
"Knights of Honor"	2
"Legend of Grimrock"	2
"LEGO Batman 2"	2
"LEGO Batman 3: Beyond Gotham"	2
"LEGO Marvel Super Heroes"	2
"Lichdom: Battlemage"	2
"Life is Feudal"	2
"LIMBO"	2
"Loadout"	2
"LYNE"	2
"Magic 2014: Duels of the Planeswalkers"	2
"Magic 2015 - Duels of the Planeswalkers"	2
"Mario Kart 7"	2
"Max Payne 3"	2
"Medieval: Total War"	2
"Mercenary Kings"	2
"Metal Gear Solid"	2
"Mount""Mount & Blade""Blade: Warband"	2
"NBA 2K14"	2
"Next Car Game: Wreckfest"	2
"No More Room In Hell"	2
"OpenTTD"	2
"Osu!"	2
"Outlast (GOG)"	2
"Plague Inc. Evolved"	2
"Pokémon Silber/Gold"	2
"Pokémon X/Y"	2
"Postal 2"	2
"Quake III Arena"	2
"R.U.S.E."	2
"Race Driver: GRID"	2
"Rayman Legends"	2
"Red Orchestra: Ostfront 41-45"	2
"Remeber Me"	2
"Resident Evil 5"	2
"Resident Evil 6"	2
"Resident Evil: Darkside Chronicles"	2
"Resident Evil: Revelations"	2
"Rise of the Triad"	2
"Risen 2: Dark Waters"	2
"Rogue Legacy"	2
"S.T.A.L.K.E.R.: Shadow of Chernobyl"	2
"Sacred"	2
"Saints Row 2"	2
"Sanctum"	2
"Serious Sam 3: BFE"	2
"Serious Sam HD: The First Encounter"	2
"SimCity 4"	2
"Smite"	2
"Sonic ""Sonic & All-Stars Racing Transformed"" All-Stars Racing Transformed"	2
"Sonic Generations"	2
"Spirit Stones"	2
"Star Citizen"	2
"Star Wars: Commander"	2
"Star Wars: Empire at War"	2
"Star Wars: TIE Fighter"	2
"Super Hexagon"	2
"Super Mario 3D Land"	2
"Surgeon Simulator 2013"	2
"Tekken"	2
"Tekken Tag Tournament 2"	2
"Tesla Effect: A Tex Murphy Adventure"	2
"The Darkness II"	2
"The Elder Scrolls III: Morrowind"	2
"The Last of Us: Remastered"	2
"The Legend of Zelda: A Link between Worlds"	2
"The Legend of Zelda: Ocarina of Time"	2
"The Legend of Zelda: The Wind Waker"	2
"The Saboteur"	2
"The Secret World"	2
"The Stanley Parable"	2
"The Vanishing of Ethan Carter"	2
"Threes!"	2
"To the Moon"	2
"Tom Clancy's Splinter Cell: Conviction"	2
"Train Simulator 2015"	2
"TRI: Of Friendship and Madness"	2
"Trials: Fusion"	2
"Ultra Street Fighter IV"	2
"Verdun"	2
"War in the Pacific"	2
"Wargame: Red Dragon"	2
"World of Guns: Gun Disassembly"	2
"Worms Armageddon"	2
"Worms: Ultimate Mayhem"	2
"XCOM: Enemy Within"	2
2048	1
10000000	1
"(???) Alien"	1
"(???) Alien vs. Predator"	1
"(???) Call of Duty diverse"	1
"(???) Dark Souls 1+2"	1
"(???) diverse iPhone"	1
"(???) Downhill Racing"	1
"(???) Dragon Age 1+3"	1
