"Table: Wie viele Stunden verbringst du in der Woche mit Videospielen?"	"n"	"sum"
1	2	2
2	1	3
3	2	5
4	6	11
5	5	16
6	5	21
7	2	23
8	7	30
9	2	32
10	19	51
11	1	52
12	8	60
13	2	62
14	2	64
15	16	80
16	1	81
17	2	83
18	2	85
20	16	101
21	2	103
22	1	104
25	7	111
27	1	112
28	3	115
30	8	123
31	1	124
35	7	131
40	6	137
45	1	138
48	1	139
49	1	140
50	4	144
56	1	145
60	3	148
70	1	149
80	1	150
"."	29	179
