"Table: [Eigene Gameserver (bei Clans: dein Anteil)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	71	71
5.0	2	73
10.0	1	74
25.0	1	75
50.0	1	76
60.0	1	77
100.0	2	79
360.0	1	80
"."	66	146
