"Wert"	"n"	"sum"
"Dragon Age: Inquisition"	161	161
"Assassin's Creed: Unity"	119	280
"Far Cry 4"	119	399
"Grand Theft Auto V"	108	507
"Battlefield 4"	102	609
"World of Warcraft"	99	708
"Diablo III"	83	791
"The Elder Scrolls V: Skyrim"	69	860
"FIFA 15"	65	925
"Counter-Strike: Global Offensive"	55	980
"Minecraft"	55	1035
"Destiny"	50	1085
"League of Legends"	46	1131
"Mittelerde: Mordors Schatten"	46	1177
"Dota 2"	45	1222
"Call of Duty: Advanced Warfare"	42	1264
"PayDay 2"	42	1306
"Hearthstone: Heroes of Warcraft"	41	1347
"The Evil Within"	41	1388
"Dragon Age: Origins"	40	1428
"The Crew"	40	1468
"Alien: Isolation"	38	1506
"Sid Meier's Civilization V"	37	1543
"Super Smash Bros 4"	36	1579
"Far Cry 3"	35	1614
"Total War: Rome II"	33	1647
"Mario Kart 8"	32	1679
"Borderlands 2"	29	1708
"Borderlands: The Pre-Sequel"	28	1736
"ArmA 2"	27	1763
"ArmA 3"	27	1790
"The Walking Dead"	27	1817
"The Last of Us"	26	1843
"StarCraft II: Wings of Liberty"	25	1868
"Guild Wars 2"	24	1892
"Sid Meier's Civilization: Beyond Earth"	23	1915
"The Binding of Isaac: Rebirth"	22	1937
"This War of Mine"	22	1959
"War Thunder"	22	1981
"World of Tanks"	22	2003
"Assassin's Creed IV: Black Flag"	21	2024
"Company of Heroes 2"	21	2045
"Europa Universalis IV"	21	2066
"Pok??mon: Alpha Saphir"	21	2087
"Halo - The Master Chief Collection"	20	2107
"Star Citizen"	20	2127
"Counter-Strike"	19	2146
"Battlefield 3"	18	2164
"Dark Souls II"	18	2182
"Star Wars: The Old Republic"	17	2199
"Wasteland 2"	17	2216
"Watch_Dogs"	17	2233
"Wolfenstein: The New Order"	17	2250
"Game of Thrones"	16	2266
"Left 4 Dead 2"	16	2282
"Lords of the Fallen"	16	2298
"NBA 2k15"	16	2314
"The Witcher 2: Assassins of Kings"	16	2330
"Kerbal Space Program"	15	2345
"Saints Row IV"	15	2360
"The Binding of Isaac"	15	2375
"Titanfall"	15	2390
"Warcraft III: Reign of Chaos"	15	2405
"Warframe"	15	2420
"Banished"	14	2434
"Divinity: Original Sin"	14	2448
"The Wolf Among Us"	14	2462
"Assassin's Creed Rogue"	13	2475
"BioShock Infinite"	13	2488
"Call of Duty"	13	2501
"Dragon Age II"	13	2514
"Pro Evolution Soccer 2015"	13	2527
"Tomb Raider"	13	2540
"Insurgency: Modern Infantry Combat"	13	2553
"Age of Empires II: The Age of Kings"	12	2565
"Assassin's Creed III"	12	2577
"Dark Souls"	12	2589
"FTL: Faster Than Light"	12	2601
"Risen 3: Titan Lords"	12	2613
"Hyrule Warriors"	12	2625
"DayZ Standalone"	11	2636
"FIFA 14"	11	2647
"Mass Effect 3"	11	2658
"Pok??mon X"	11	2669
"The Witcher"	11	2680
"Valkyria Chronicles"	11	2691
"(???) Assassin's Creed"	10	2701
"Anno 2070"	10	2711
"Bayonetta 2"	10	2721
"Call of Duty: Ghosts"	10	2731
"Die Sims 4"	10	2741
"Elite: Dangerous"	10	2751
"Final Fantasy XIV: A Realm Reborn"	10	2761
"Path of Exile"	10	2771
"Planetside 2"	10	2781
"South Park: Der Stab der Wahrheit"	10	2791
"State of Decay"	10	2801
"The Vanishing of Ethan Carter"	10	2811
"Clash of Clans"	10	2821
"Assassin's Creed II"	9	2830
"Counter-Strike: Source"	9	2839
"Crusader Kings II"	9	2848
"Dishonored: Die Maske des Zorns"	9	2857
"Forza Horizon 2"	9	2866
"Heroes of the Storm"	9	2875
"Shadow Warrior"	9	2884
"Team Fortress 2"	9	2893
"Ryse: Son of Rome"	9	2902
"Anno 1404"	8	2910
"Portal 2"	8	2918
"Terraria"	8	2926
"The Last of Us: Remastered"	8	2934
"Valiant Hearts: The Great War"	8	2942
"Don't Starve"	8	2950
"Final Fantasy XIII"	8	2958
"Red Dead Redemption"	8	2966
"(???) Super Smash Bros."	7	2973
"Call of Duty: Black Ops II"	7	2980
"Fallout: New Vegas"	7	2987
"Gran Turismo 6"	7	2994
"Grand Theft Auto IV"	7	3001
"Halo: Combat Evolved"	7	3008
"Landwirtschafts-Simulator 2015"	7	3015
"Legend of Grimrock 2"	7	3022
"Mount&Blade: Warband"	7	3029
"Prison Architect"	7	3036
"Sunset Overdrive"	7	3043
"The Forest"	7	3050
"Metro 2033 Redux"	7	3057
"Tales from the Borderlands"	7	3064
"The Banner Saga"	7	3071
"(???) Pok??mon"	6	3077
"7 Days to Die"	6	3083
"ArcheAge"	6	3089
"Baldur's Gate"	6	3095
"Batman: Arkham Origins"	6	3101
"Darksiders 2"	6	3107
"Dungeon of the Endless"	6	3113
"Endless Legend"	6	3119
"Mass Effect"	6	3125
"MechWarrior Online"	6	3131
"Saints Row: The Third"	6	3137
"Sins of a Solar Empire"	6	3143
"The Simpsons: Springfield"	6	3149
"Train Fever"	6	3155
"Batman: Arkham City"	6	3161
"Company of Heroes"	6	3167
"Euro Truck Simulator 2"	6	3173
"Goat Simulator"	6	3179
"Half-Life 2"	6	3185
"Madden NFL 15"	6	3191
"Pflanzen gegen Zombies 2"	6	3197
"Thief"	6	3203
"Total War: Shogun 2"	6	3209
"Killing Floor"	6	3215
"Age of Wonders III"	5	3220
"Baldur's Gate 2: Schatten von Amn"	5	3225
"Boom Beach"	5	3230
"Demon's Souls"	5	3235
"Diablo II"	5	3240
"Fallout 3"	5	3245
"Gothic II"	5	3250
"Lara Croft und der Tempel des Osiris"	5	3255
"Rocksmith 2014"	5	3260
"Star Trek Online"	5	3265
"XCOM: Enemy Unknown"	5	3270
"Fantasy Life"	5	3275
"Final Fantasy VII"	5	3280
"Fire Emblem: Awakening"	5	3285
"BattleBlock Theater"	5	3290
"LEGO Batman 3: Beyond Gotham"	5	3295
"Tropico 5"	5	3300
"Worms"	5	3305
"Child of Light"	4	3309
"Day of Defeat: Source"	4	3313
"Deus Ex"	4	3317
"Die Sims 3"	4	3321
"EVE Online"	4	3325
"Fallout 2"	4	3329
"Final Fantasy X HD Remaster"	4	3333
"GRID 2"	4	3337
"Injustice: Gods Among Us"	4	3341
