"Table: [Spiel 4] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Assassin's Creed: Unity"	120	120
"Dragon Age: Inquisition"	108	228
"Battlefield 4"	107	335
"Far Cry 4"	105	440
"Counter-Strike: Global Offensive"	94	534
"League of Legends"	93	627
"Grand Theft Auto V"	92	719
"The Elder Scrolls V: Skyrim"	75	794
"World of Warcraft"	75	869
"FIFA 15"	64	933
"Call of Duty: Advanced Warfare"	45	978
"Minecraft"	42	1020
"Destiny"	41	1061
"Dota 2"	38	1099
"Super Smash Bros 4"	37	1136
"Diablo III"	36	1172
"The Crew"	36	1208
"Hearthstone: Heroes of Warcraft"	35	1243
"ArmA 2"	34	1277
"Dragon Age: Origins"	34	1311
"Pokémon: Alpha Saphir"	34	1345
"Mittelerde: Mordors Schatten"	34	1379
"Assassin's Creed IV: Black Flag"	33	1412
"Total War: Rome II"	32	1444
"Guild Wars 2"	31	1475
"ArmA 3"	30	1505
"The Binding of Isaac: Rebirth"	30	1535
"Battlefield 3"	29	1564
"Far Cry 3"	29	1593
"PayDay 2"	29	1622
"Sid Meier's Civilization V"	29	1651
"Halo - The Master Chief Collection"	28	1679
"Borderlands 2"	25	1704
"Borderlands: The Pre-Sequel"	24	1728
"The Evil Within"	24	1752
"Europa Universalis IV"	22	1774
"Counter-Strike"	21	1795
"Dark Souls"	21	1816
"Watch_Dogs"	21	1837
"Mario Kart 8"	20	1857
"Team Fortress 2"	20	1877
"War Thunder"	20	1897
"Game of Thrones"	19	1916
"Crusader Kings II"	18	1934
"Mount&Blade: Warband"	18	1952
"The Walking Dead"	18	1970
"StarCraft II: Wings of Liberty"	17	1987
"Company of Heroes 2"	16	2003
"Dark Souls II"	16	2019
"Warframe"	16	2035
"BioShock Infinite"	15	2050
"Insurgency: Modern Infantry Combat"	15	2065
"Kerbal Space Program"	15	2080
"The Binding of Isaac"	15	2095
"The Last of Us"	15	2110
"Alien: Isolation"	14	2124
"Saints Row IV"	14	2138
"Tomb Raider"	14	2152
"South Park: Der Stab der Wahrheit"	13	2165
