"Table: [Spielbezogene Hardware] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	4	4
20.0	1	5
100.0	1	6
150.0	1	7
250.0	1	8
350.0	2	10
400.0	2	12
500.0	2	14
700.0	1	15
1250.0	1	16
1500.0	3	19
3000.0	1	20
