"Wert"	"n"	"sum"
"Dragon Age: Inquisition"	42	367
"Battlefield 4"	25	157
"Diablo III"	24	307
"Grand Theft Auto V"	21	514
"Assassin's Creed: Unity"	21	112
"World of Warcraft"	20	1044
"Far Cry 4"	18	460
"Alien: Isolation"	13	59
"Sid Meier's Civilization V"	12	785
"Mittelerde: Mordors Schatten"	12	668
"Assassin's Creed IV: Black Flag"	12	89
"The Walking Dead"	11	931
"The Evil Within"	11	900
"Tomb Raider"	10	967
"Sid Meier's Civilization: Beyond Earth"	10	795
"Far Cry 3"	10	441
"FIFA 15"	10	422
"Dragon Age: Origins"	10	377
"Borderlands 2"	10	187
"The Elder Scrolls V: Skyrim"	9	889
"Minecraft"	9	656
"Lords of the Fallen"	9	608
"Destiny"	9	276
"World of Tanks"	8	1024
"The Crew"	8	876
"Star Wars: The Old Republic"	8	831
"Dark Souls II"	8	248
"Wasteland 2"	7	1006
"The Last of Us"	7	911
"PayDay 2"	7	699
"Mario Kart 8"	7	623
"Driveclub"	7	385
"Call of Duty: Advanced Warfare"	7	203
"Wolfenstein: The New Order"	6	1016
"Mass Effect 3"	6	636
"Forza Horizon 2"	6	470
"Deus Ex: Human Revolution"	6	282
"Total War: Rome II"	5	974
"This War of Mine"	5	950
"The Wolf Among Us"	5	942
"Star Citizen"	5	815
"NBA 2k15"	5	676
"Guild Wars 2"	5	525
"Elite: Dangerous"	5	395
"Don't Starve"	5	322
"Borderlands: The Pre-Sequel"	5	192
"Borderlands"	5	177
"Titanfall"	4	955
"Sid Meier's Civilization IV"	4	772
"Shadow Warrior"	4	762
"Hearthstone: Heroes of Warcraft"	4	538
"Grid Autosport"	4	518
"Gran Turismo 6"	4	491
"Europa Universalis IV"	4	408
"EVE Online"	4	390
"Divinity: Original Sin"	4	317
"Counter-Strike: Global Offensive"	4	228
"Company of Heroes 2"	4	222
"BioShock Infinite"	4	170
"Watch_Dogs"	3	1009
"The Witcher 2: Assassins of Kings"	3	935
"The Vanishing of Ethan Carter"	3	920
"The Forest"	3	903
"The Elder Scrolls Online"	3	880
"The Binding of Isaac: Rebirth"	3	864
"Terraria"	3	859
"Sunset Overdrive"	3	845
"South Park: Der Stab der Wahrheit"	3	804
"Ryse: Son of Rome"	3	751
"Risen 3: Titan Lords"	3	745
"Panzer Corps: Wehrmacht"	3	688
"Mass Effect"	3	628
"LEGO Batman 3: Beyond Gotham"	3	574
"Halo - The Master Chief Collection"	3	529
"Game of Thrones"	3	479
"FTL: Faster Than Light"	3	425
"Euro Truck Simulator 2"	3	403
"Darksiders 2"	3	251
"Clash of Clans"	3	214
"Battlefield 3"	3	132
"Assetto Corsa"	3	115
"ArmA 3"	3	73
"Alan Wake"	3	44
"7 Days to Die"	3	38
"Warframe"	2	997
"WWE 2k15"	2	994
"Valkyria Chronicles"	2	988
"Valiant Hearts: The Great War"	2	986
"Triple Town"	2	981
"Trine"	2	978
"Thief"	2	944
"The Witcher Adventure Game"	2	937
"The Cat Lady"	2	868
"The Book of Unwritten Tales 2"	2	866
"Team Fortress 2"	2	856
"Super Smash Bros 4"	2	847
"Streetpass Mii-Lobby"	2	840
"Stonehearth"	2	838
"Star Wars: Knights of the Old Republic"	2	822
"Star Trek Online"	2	818
"Sniper Elite 3"	2	800
"S.T.A.L.K.E.R.: Shadow of Chernobyl"	2	754
"Red Faction: Guerrilla"	2	734
"Rayman Origins"	2	731
"Quizduell"	2	724
"Quake Live"	2	722
"Portal 2"	2	716
"Planetside 2"	2	714
"Planetary Annihilation"	2	712
"Pflanzen gegen Zombies: Garden Warfare"	2	705
"Pflanzen gegen Zombies"	2	703
"Path of Exile"	2	692
"Papers, Please"	2	690
"Next Car Game: Wreckfest"	2	682
"Need for Speed: Rivals"	2	678
"Murdered: Soul Suspect"	2	670
"Metro: Last Light"	2	647
"Metro 2033"	2	644
"Max Payne 3"	2	640
"Mass Effect 2"	2	630
"Mario Kart 7"	2	616
"Legend of Grimrock"	2	593
"League of Legends"	2	589
"Landwirtschafts-Simulator 2015"	2	584
"LEGO Marvel Super Heroes"	2	578
"Knack"	2	570
"Kerbal Space Program"	2	565
"Just Cause 2"	2	561
"Insurgency: Modern Infantry Combat"	2	557
"Heroes & Generals"	2	543
"Helden von Camelot"	2	541
"Halo: Combat Evolved"	2	533
"Grand Theft Auto IV"	2	493
"Gothic 3"	2	487
"Gauntlet"	2	481
"Fallout: New Vegas"	2	429
"FIFA 14"	2	412
"Dragon Age II"	2	325
"Defiance"	2	264
"Dead Rising 3"	2	259
"Dark Souls"	2	240
"Crysis 3"	2	236
"Craft The World"	2	230
"Counter-Strike"	2	224
"Command and Conquer 3: Tiberium Wars"	2	217
"Call of Duty"	2	196
"Bayonetta"	2	162
"Bayonetta 2"	2	164
"Battlefield: Bad Company 2"	2	160
"Batman: Arkham City"	2	126
"Batman: Arkham Asylum"	2	124
"Baldur's Gate"	2	118
