"Wert"	"n"	"sum"
"Assassin's Creed III"	2	77
"ArmA 2"	2	70
"ArcheAge"	2	68
"Anno 1404"	2	65
"(???) X-Com"	2	29
"(???) Super Smash Bros."	2	23
"(???) SimCity"	2	21
"(???) Batman"	2	6
2048	1	1
"prey"	1	1056
"inFAMOUS Second Son"	1	1055
"iRacing.com"	1	1054
"Z"	1	1053
"XCOM: Enemy Within"	1	1052
"XCOM: Enemy Unknown"	1	1051
"X3: Terran Conflict"	1	1050
"X3: Albion Prelude"	1	1049
"X-Plane 10"	1	1048
"X-COM: Terror from the Deep"	1	1047
"Worms: Clan Wars"	1	1046
"World of Warplanes"	1	1045
"Wolfenstein"	1	1010
"Warlock: Master of Arcane"	1	999
"Wargame: Red Dragon"	1	998
"Warcraft III: Reign of Chaos"	1	995
"WWE 2k14"	1	992
"WET"	1	991
"Velvet Assassin"	1	990
"Vector Thrust"	1	989
"Tropico 5"	1	984
"Tropico 4"	1	983
"Tron 2.0"	1	982
"Trine 2"	1	979
"Train Fever"	1	976
"Toybox Turbos"	1	975
"Torchlight II"	1	969
"Tomb Raider: Anniversary"	1	968
"Tom Clancy's Splinter Cell: Blacklist"	1	957
"To the Moon"	1	956
"Tiny Troopers"	1	951
"Thief 4"	1	945
"The Witcher"	1	932
"The Tiny Bang Story"	1	917
"The Stanley Parable"	1	916
"The Simpsons: Tapped Out"	1	915
"The Pinball Arcade"	1	914
"The Long Dark"	1	913
"The Legend Of Zelda: Skyward Sword"	1	912
"The Golf Club"	1	904
"The Elder Scrolls III: Morrowind"	1	877
"The Binding of Isaac"	1	861
"The Banner Saga"	1	860
"Tangled"	1	854
"Tales of Xillia 2"	1	853
"Tales of Aravorn: Seasons Of The Wolf"	1	852
"Tales from the Borderlands"	1	851
"System Shock 2"	1	850
"Symphony"	1	849
"Super Smash Bros. Brawl"	1	848
"Sudeki"	1	842
"Styx: Master of Shadows"	1	841
"State of Decay: Breakdown"	1	836
"Starpoint Gemini"	1	834
"Starpoint Gemini 2"	1	835
"Starbound"	1	833
"StarCraft II: Wings of Liberty"	1	832
"Star Wars: TIE Fighter"	1	823
"Star Wars: Episode III ??? Die Rache de"	1	820
"Star Wars: Commander"	1	819
"Star Conflict"	1	816
"Spore"	1	810
"Spirit Stones"	1	809
"Spintires"	1	808
"SpellForce 2: Demons of the Past"	1	807
"Spec Ops: The Line"	1	806
"Space Engieeners"	1	805
"Solit??r"	1	801
"Skylanders: Swap Force (Starter Pack)"	1	798
"Sid Meier's Railroad Tycoon"	1	797
"Sid Meier's Pirates!"	1	796
"Sid Meier's Civilization IV: Colonization"	1	773
"Shroud of the Avatar: Forsaken Virtues"	1	768
"Shift 2: Unleashed"	1	767
"Sherlock Holmes: Crimes and Punishments"	1	766
"Shakes and Fidget"	1	765
"Shadowrun: Dragonfall"	1	764
"Shadowrun Returns"	1	763
"Secret of Mana"	1	758
"Secret Weapons over Normandy"	1	757
"Saints Row IV"	1	756
"Saints Row 2"	1	755
"S.T.A.L.K.E.R.: Call of Pripyat"	1	752
"Rust"	1	748
"Rome: Total War"	1	747
"Rising Storm"	1	746
"Risen"	1	742
"Rise of Nations"	1	741
"Rise of Flight"	1	740
"Return to Castle Wolfenstein"	1	739
"Resonance"	1	738
"Resident Evil: Revelations"	1	737
"Resident Evil: Darkside Chronicles"	1	736
"Renegade Ops"	1	735
"Red Dead Redemption"	1	732
"Rambo: The Video Game"	1	729
"RaceRoom Racing Experience"	1	728
"Race The Sun"	1	727
"Race Driver: GRID"	1	726
"Race 07: Official WTCC Game"	1	725
"Quake III Arena"	1	720
"Pro Evolution Soccer 2015"	1	719
"Primordia"	1	718
"Postal 2"	1	717
"Plague Inc."	1	710
"Pikmin"	1	709
"Picross E4"	1	708
"Picmi"	1	707
"Phantasy Star Online 2"	1	706
"Persona Q: Shadow of the Labyrinth"	1	701
"Peggle 2"	1	700
"Outlast (GOG)"	1	685
"Obscure II"	1	684
"Nimble Quest"	1	683
"Never Alone"	1	680
"Need for Speed: The Run"	1	679
"Mystery Case Files: Dire Grove, Sacred Grove"	1	671
"Metro 2033 Redux"	1	645
"Metal Gear Rising: Revengeance"	1	642
"Medieval II: Total War"	1	641
"Max Payne"	1	638
"Mata Hari"	1	637
"Marvel vs StreetFighter"	1	625
"Marvel Puzzle Quest: Dark Reign"	1	624
"Maia"	1	614
"MagnaCarta 2"	1	613
"Magicite"	1	612
"Mafia II"	1	611
"Madden NFL 15"	1	610
"MLB 14 The Show"	1	609
"Lords of Xulima"	1	599
"LittleBigPlanet"	1	597
"LittleBigPlanet 3"	1	598
"Lightning Returns: Final Fantasy XIII"	1	596
"Lichdom: Battlemage"	1	595
"Legend of Grimrock 2"	1	594
"Legacy of Kain"	1	591
"Left 4 Dead 2"	1	590
"Last of Us"	1	587
"Last Chaos"	1	586
"Lara Croft and the Guardian of Light"	1	585
"LIMBO"	1	582
"LEGO: Der Hobbit"	1	581
"LEGO Star Wars"	1	580
"LEGO Movie"	1	579
"LEGO Indiana Jones"	1	576
"LEGO Der Herr der Ringe"	1	575
"Knights of Honor"	1	571
"King's Bounty: Warriors of the North"	1	568
"Killer Instinct"	1	567
"Kid Icarus: Uprising"	1	566
"Kentucky Road Zero"	1	563
"Kantai Collection"	1	562
"Jagged Alliance: Back in Action"	1	559
"Invisible Inc."	1	558
"Ingress"	1	555
"Infinity Blade II"	1	554
"Infinite Undiscovery"	1	553
"Indiana Jones-greatest Adventures"	1	552
"Icewind Dale: Enhanced Edition"	1	551
"Icewind Dale"	1	550
"IL-2 Sturmovik: Battle of Stalingrad"	1	549
"How to Survive"	1	548
"Hoplite"	1	547
"Heroes of storm"	1	546
"Heroes of Might and Magic V"	1	545
"Heroes Charge"	1	544
"Hearts of Iron III"	1	539
"Hatsune Miku: Project Diva F 2nd"	1	534
"Halo 4"	1	531
"Halo 3"	1	530
"Half-Life"	1	526
"Guild Wars"	1	520
"Guacamelee!"	1	519
"Geometry Wars 3: Dimensions"	1	485
"Gears of War"	1	482
"Gears of War 3"	1	484
"Gears of War 2"	1	483
"Gabriel Knight: Sins of the Fathers 20t"	1	476
"GODUS"	1	475
"Frozen Synapse"	1	474
"Freecol"	1	473
"Forza Motorsport 5"	1	472
"Forza Motorsport 4"	1	471
"Forge of Empires"	1	464
"Forge Quest"	1	463
"Farmville 2"	1	462
"Far cry 4"	1	461
"Far Cry"	1	430
"Far Cry 3: Blood Dragon"	1	442
"Far Cry 2"	1	431
"Fallout 3"	1	427
"Falcon 4.0"	1	426
"Expeditions: Conquistador"	1	410
"EverQuest II"	1	409
"Europa Universalis"	1	404
"Enslaved: Odyssey to the West"	1	400
"Enemy Front"	1	399
"Endless Space"	1	398
"Endless Legend"	1	397
"Empire: Total War"	1	396
"Dungeon of Slyn"	1	386
"Dragon's Crown"	1	378
"Downfall"	1	323
"Disney Infinity: 2.0 Edition"	1	313
"Disney Infinity"	1	312
"Dishonored: Die Maske des Zorns"	1	311
"Dirt 2"	1	310
"Die Sims 4"	1	309
"Die Sims 2"	1	308
"Devil May Cry"	1	283
"Der Herr der Ringe Online"	1	267
"Deponia"	1	266
"Democracy 3"	1	265
"Defense Grid: The Awakening"	1	262
"Deadly Premonition"	1	261
"Dead State"	1	260
"Dead Island: Riptide"	1	257
"Dead Island: Epidemic"	1	256
"Dead Island"	1	255
"DayZ Standalone"	1	254
"Das Schwarze Auge: Blackguards"	1	253
"Darwinia"	1	252
"DCS: A-10C Warthog - Digital Combat Simulator"	1	238
"DCS: A-10C Warthog - Digital Combat Simulato"	1	237
"Crysis"	1	233
"Crysis 2"	1	234
"Crusader Kings II"	1	232
"Crimsonland"	1	231
"Company of Heroes"	1	218
"Command & Conquer: Generals"	1	215
"Child of Light"	1	211
"Castlevania: Lords of Shadow ??? Mirror of Fat"	1	210
"Castlevania: Lords of Shadow 2"	1	209
"CastleMiner Z"	1	208
"Castle Clash"	1	207
"Call of Duty: Modern Warfare 3"	1	206
"Call of Duty: Ghosts"	1	205
"Call of Duty: Black Ops II"	1	204
"Caesar III"	1	194
"Boulder Dash"	1	193
"BloodRayne"	1	172
"Biohazard rebirth"	1	171
"Beyond Good & Evil"	1	166
"Beat Hazard"	1	165
"Battlefield Heroes"	1	158
"BattleBlock Theater"	1	129
"Battle Island"	1	128
"Batman: Arkham Origins"	1	127
"Bastion"	1	122
"Banner Saga"	1	121
"Banished"	1	120
"Baldur's Gate: Enhanced Edition"	1	119
"Audiosurf: Ride Your Music"	1	116
"Assassin's Creed: Revelations"	1	91
"Assassin's Creed Rogue"	1	90
"Assassin's Creed II"	1	75
"Asphalt 8: Airborne"	1	74
"Anno 2070"	1	66
"Angry Birds"	1	63
"Amnesia: The Dark Descent"	1	62
"Always Sometimes Monsters"	1	61
"Aliens: Colonial Marines"	1	60
"Alice: Madness Returns"	1	46
"Alan Wake's American Nightmare"	1	45
"Age of Mythology (Extended Edition)"	1	41
"Act of War: Direct Action"	1	40
"AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome"	1	39
"0 A.D."	1	35
"(???) price grab"	1	34
"(???) diverse iPhone"	1	33
"(???) civ 6"	1	32
"(???) andrere"	1	31
"(???) X-Plane"	1	30
"(???) Trine 1+2"	1	27
"(???) Trials"	1	26
"(???) Tome"	1	25
"(???) The Legend of Zelda"	1	24
"(???) Silent Hill"	1	19
"(???) SSB"	1	18
"(???) SPIDERMAN"	1	17
"(???) Rayman"	1	16
"(???) Metro"	1	15
"(???) Mass Effect Trilogy"	1	14
"(???) Marvell Heroes"	1	13
"(???) Lego Harry Potter 5-7"	1	12
"(???) Kotor 1 & 2"	1	11
"(???) Gran Turismo"	1	10
"(???) Fifa"	1	9
"(???) Farming Simulator"	1	8
"(???) Dirt Sc"	1	7
"(???) Bat man"	1	4
"(???) Assassin's Creed"	1	3
"(???) Alien"	1	2
