"Wert"	"n"	"sum"
.00	2	2
16.00	1	3
20.00	4	7
25.00	2	9
30.00	1	10
40.00	2	12
50.00	14	26
60.00	4	30
70.00	5	35
80.00	4	39
100.00	33	72
110.00	1	73
120.00	6	79
130.00	1	80
150.00	26	106
180.00	5	111
200.00	33	144
240.00	1	145
250.00	15	160
300.00	24	184
340.00	1	185
350.00	5	190
400.00	12	202
450.00	1	203
500.00	30	233
600.00	9	242
700.00	1	243
750.00	1	244
800.00	3	247
900.00	1	248
1000.00	2	250
1200.00	1	251
1400.00	1	252
1500.00	1	253
1950.00	1	254
2000.00	1	255
3000.00	1	256
3500.00	1	257
4000.00	1	258
