"Table: [??? verberge/verleugne ich meine Videospielnutzung.] Auf meine Videospielnutzung haben Au??enstehende schon absch??tzig reagiert. Als Reaktion hierauf ???"	"n"	"sum"
0	845	845
1	15	860
