"Table: [Spiele-Kauf (einmalige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
20.0	1	1
25.0	1	2
30.0	1	3
40.0	1	4
60.0	2	6
100.0	1	7
150.0	1	8
200.0	4	12
250.0	2	14
300.0	5	19
400.0	1	20
500.0	3	23
