"Mindestens manchmal genutze Plattform"	"Nennungen"
"keine"	320
"PC"	639
"Konsole"	10
"PC+Konsole"	670
"Smartphone"	0
"PC+Smartphone"	94
"Konsole+Smartphone"	4
"alles"	76
