"Titel"	"Nennungen"
"Tetris (0)"	1
"Terranigma (1996)"	1
"Tembo the Badass Elephant (2015)"	1
"Technobabylon ()"	1
"Teamfortress 2 ()"	1
"Team Fortress 2 (PC) ()"	1
"Tap Titans ()"	1
"Tap Tap Infinity ()"	1
"Talos Principle ()"	1
"Talisman: Digital Edition ()"	1
"Talex of Xillia 2 ()"	1
"Tales of Zestria ()"	1
"Tales of Symhonia ()"	1
"Tales of Grace F ()"	1
"Tales form the Borderlands ()"	1
"Take On Mars ()"	1
"TIS-100 ()"	1
"THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION ()"	1
"TES: V Skyrim ()"	1
"TDU 2 ()"	1
"System Shock: Remastered ()"	1
"Syndicate (2012) ()"	1
"Symphony ()"	1
"Syder Arcade ()"	1
"Swotr ()"	1
"Surgeon Simulator 2013 ()"	1
"Supreme Commander FAF ()"	1
"Supernova ()"	1
"Super Trench Attack! ()"	1
"Super Sudoku ()"	1
"Super Stardust Ultra ()"	1
"Super Smashbrothers ()"	1
"Super Mario World (hacks) ()"	1
"Super Mario World (SNES) ()"	1
"Super Mario Smash Tennis ()"	1
"Super Mario Galaxy (2007)"	1
"Super Hexagon ()"	1
"Super Acalanche ()"	1
"Sunset Overdrive (2014)"	1
"Suikoden 2 ()"	1
"Suikoden 1 (PS Vita) ()"	1
"Sudoku Daily ()"	1
"Styx: Master of the Shadow ()"	1
"Stronghold: Crusader HD ()"	1
"Street Fighter X Tekken (2012)"	1
"Street Fighter (1992)"	1
"Stonehearth (2015)"	1
"Stock Car Extreme ()"	1
"Still Life (2007)"	1
"Steel Ocean ()"	1
"Stealth Inc 2 ()"	1
"State of decay year one ()"	1
"Starship Titanic ()"	1
"Starsector ()"	1
"Starpoint Gemini 2 ()"	1
"Starcraft II - Legacy of the Void ()"	1
"Starcraft 2: LotV ()"	1
"Starcraft 2 LotV ()"	1
"Starcraft 2 - LotV ()"	1
"Starcraft / Brood War ()"	1
"StarCraft: Brood War (2000)"	1
"StarCraft II: Heart of the Swarm (2013)"	1
"StarCraft Boodwar ()"	1
"StarCraft 2: Legacy of the Void ()"	1
"StarCraft 2 - Legacy of the Void ()"	1
"StarCitizen Alpha ()"	1
"Star Wars: X-Wing Alliance (1999)"	1
"Star Wars: X-Wing (1994)"	1
"Star Wars: The Force Unleashed (2008)"	1
"Star Wars: Starfighter (2002)"	1
"Star Wars: Knights of the old Republic 2 ()"	1
"Star Wars: Knights of the Old Republic 2 The Sith Lords (Windows) ()"	1
"Star Wars: Jedi Knight II: Jedi Outcast ()"	1
"Star Wars: Jedi Knight - Jedi Academy (2003)"	1
"Star Wars: Galaxy of Heroes ()"	1
"Star Wars: Battlefront 2 ()"	1
"Star Wars KotOR II ()"	1
"Star Wars Knights  of the old reupblic ()"	1
"Star Wars Jedi Knight Jedi Outcast ()"	1
"Star Wars Jedi Knight Dark Forces 2 ()"	1
"Star Wars EaW ()"	1
"Star Wars Beattlefront ()"	1
"Star Wars Battlefront 2015 ()"	1
"Star Wars - Battlefront ()"	1
"Star War - Battlefront ()"	1
"Star Trek: Starfleet Academy (1997)"	1
"Star Saviors ()"	1
"Star Ruler 2 ()"	1
"Star Made (2014)"	1
"Star Craft 2 LotV ()"	1
"Star Citzen ()"	1
"Star Citizens ()"	1
"Stairs ()"	1
"Sqaud ()"	1
"Spirits Of Xnaadu ()"	1
"Spirited Heart ()"	1
"Spiral Knights ()"	1
"Sphero BB-8 ()"	1
"Spellforce: Platinum Collection ()"	1
"SpaceBase DF-9 ()"	1
"Space Pirates and Zombies ()"	1
"Space Engineers (PC) ()"	1
"Space Engeniers ()"	1
"Space Channel 5 (1999)"	1
"SouthPark: The Stick of Thruth ()"	1
"South Park™: The Stick of Truth™ ()"	1
"South Park -Stick of Truth ()"	1
"Soulcalibur 3 ()"	1
"Soul Calibur V (2013)"	1
"Sonstige Free2Play Games ()"	1
"Sonic Lost World ()"	1
"Sonic Generations (2011)"	1
"Sonic & Allstar Racing Transformed ()"	1
"Software Inc ()"	1
"Sniper Elite: Berlin 1945 ()"	1
"Skyhill (2015)"	1
"Sims 2 (Playstation 2) ()"	1
"Simpsons tappedout ()"	1
"Simple Planes ()"	1
"Simfarm ()"	1
"SimCity 4 Deluxe ()"	1
"Silver 1999 ()"	1
"Sid Meier's Civilization IV: Colonization (2008)"	1
"Sid Meier's Civilization II (1996)"	1
"Sid Meier's Alpha Centauri (1999)"	1
"Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad ()"	1
"Shovel Knight (2014)"	1
"ShootMania Storm ()"	1
"Shiny Days ()"	1
"Shin Megami Tensei: Persona 4 (2008)"	1
"Shin Megami Tensei: Devil Survivor 2 - Record Breaker (2015)"	1
"Shin Megami Tensei IMAGINE ()"	1
"Shenmue (2000)"	1
"Shantae and the Pirates Curse ()"	1
"Shakes & Fidget – The Game (2009)"	1
"Shadowrun: Dragonfall ()"	1
"Shadowrun Returns (2013)"	1
"Shadowrun Dragonfall DC ()"	1
"Shadow Warrior (1997) (1997)"	1
"Settlers® 3: Ultimate Collection ()"	1
"Serious Sam 3:BFE ()"	1
"Serious Sam 2 ()"	1
"Senran Kagura Burst (2014)"	1
"Secret Files: Sam Peters ()"	1
"Scribblenauts Unmasked: A DC Comics Adventure ()"	1
"Schafkopf ()"	1
"Scared 2 Ice and Blood ()"	1
"Saw (2009)"	1
"Savage Island (1981)"	1
"Sattelite Reign ()"	1
"Sanctum 2 ()"	1
"Sanctum (2012)"	1
"San Andreas ()"	1
"Samurai Warriors 4-II (2015)"	1
"Sakura Angels ()"	1
"Saints Row: IV ()"	1
"Saints Row V ()"	1
"Saints Row 2 (2008)"	1
"Saint Row III ()"	1
"Sacred 2: Fallen Angel (2009)"	1
"STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™ ()"	1
"STAR WARS™ Knights of the Old Republic™ II: The Sith Lords ()"	1
"SNOW (2014)"	1
"SC2 ()"	1
"S4 League (2006)"	1
"RymdResa ()"	1
"Runescape (1999)"	1
"Roommates ()"	1
"Rome Total War Attila ()"	1
"Rollers of the Realm ()"	1
"RollerCoaster Tycoon 3 (2004)"	1
"Rogue Legacy (2014)"	1
"Rocketbirds: Hardboiled Chicken (2013)"	1
"Rocked League ()"	1
"Rock Band 4 ()"	1
"Rock Band 3 (2010)"	1
"Roblox ()"	1
"Road Redemtion ()"	1
"Rise of Venice (2015)"	1
"Ride (2015)"	1
"Riddik Escape from Butcherbay ()"	1
"Reus ()"	1
"Return to Wolfenstein Castle ()"	1
"Return to Castle Wolfenstein - Platinum Edition ()"	1
"Resident Evil™ 5/ Biohazard 5® ()"	1
"Resident Evil Remastered HD ()"	1
"Resident Evil HD Remake ()"	1
"Resident Evil 6 / Biohazard 6 ()"	1
"Resident Evil 6 (2012)"	1
"Resident Evil 5 Gold Edition ()"	1
"Resident Evil 5 / Biohazard 5 ()"	1
"Resident Evil 4 (2007)"	1
"Republiqe remasterd ()"	1
"Renowned Explorers ()"	1
"Renowned Explorer ()"	1
"Redguard An Elder Scrolls Adventure ()"	1
"Red Orchstra 2/ Rising Storm ()"	1
"Red Orchestra: Ostfront 41-45 (2006)"	1
"Red Ochestra 2 ()"	1
"Red Faction: Armageddon (2011)"	1
"Red Faction 1 UNCUT ()"	1
"Recettear: An Item Shop's Tale ()"	1
"Recettear ()"	1
"Rayman Legends (0)"	1
"Rayman 2 ()"	1
"Ratchet & Clank: Quest for Booty (2008)"	1
"Rampage Knights ()"	1
"RaceRoom Racing Experience (PC) ()"	1
"RaceRoom Racing Experience (2013)"	1
"RaceRoom ()"	1
"Race Driver GRID (2008)"	1
"R3E ()"	1
"Quake 4 (2005)"	1
"Quake 3 Arena (CPMA) ()"	1
"QUAKE: THE OFFERING ()"	1
"Q.u.b.e ()"	1
"Q.U.B.E. ()"	1
"Puzzle Agent (2010)"	1
"Psychonauts (2005)"	1
"Prototype (2009)"	1
"Prominence ()"	1
"ProjectCARS ()"	1
"Pro Evolution Soccer 2016 ()"	1
"Prison Architekt ()"	1
"Prince of Persia: Warrior Within (2004)"	1
"Prince of Persia The Sands of Time ()"	1
"Prime World: Defenders ()"	1
"Pre-civilization Marble Age ()"	1
"Postal 3 ()"	1
"Post Mortem (2002)"	1
"Portal Mel ()"	1
"Pokémon Picross ()"	1
"Pokemon Super Mystery Dungeon ()"	1
"Pokemon Shuffle ()"	1
"Poject Cars ()"	1
"Plaque Inc ()"	1
"Plants vs. Zombies: Garden Warfare (2014)"	1
"Plants vs. Zombies (2009)"	1
"Planetary Annihilation ()"	1
"PlanetSide (2003)"	1
"Planet Explorers ()"	1
"Plague Inc. Evolved (2014)"	1
"Plague Inc. (2012)"	1
"Pixel Puzzles 2: Anime ()"	1
"Pinball FX (2007)"	1
"Pinball Dreams (1993)"	1
"Phantom Pain ()"	1
"Phantasy Star Online (2000)"	1
"Persona Q: Shadow of the Labyrinth (2014)"	1
"Payday: The Heist (2011)"	1
"Pathologic HD Remastered ()"	1
"Parkan 2 ()"	1
"Panzer Corps: Wehrmacht ()"	1
"PES 2016 ()"	1
"PCF13 (Basketballmanager) ()"	1
"Our Love will growe ()"	1
"Otherland ()"	1
"Orion: A Sci-Fi Visual Novel ()"	1
"Orcs Must Die! 2 ()"	1
"OpenTTD (2010)"	1
"Open Red Alert ()"	1
"One More Dungeon ()"	1
"One Button Travel ()"	1
"Omerta City of Gangsters ()"	1
"OlliOlli (2014)"	1
"Oddworld: New n Tasty ()"	1
"Oddworld: New 'n' Tasty ()"	1
"Oddworld: Abe's Oddysee (1997)"	1
"Oceanhorn ()"	1
"ORION: Prelude ()"	1
"OFM ()"	1
"Nuclear Dawn ()"	1
"Nosgoth ()"	1
"Nobunaga's Ambition ()"	1
"No One Lives Forever (1) ()"	1
"Night Of The Rabbit ()"	1
"NieR (2010)"	1
"Nidhogg (2014)"	1
"Ni Nu Kuni ()"	1
"New Super Mario Bros. U (2012)"	1
"Neverwinternights 2 ()"	1
"Neo Scavanger ()"	1
"NekoPara ()"	1
"Need for Speed: Rivals (2013)"	1
"Need for Speed: Most Wanted (2005)"	1
"Need for Speed 2015 ()"	1
"Need For Speed Most Wanted 5-1-0 ()"	1
"Naruto Shippuden: Ultimate Ninja Storm Revolution (2014)"	1
"NR2003 Racing Season ()"	1
"NEON STRUCT ()"	1
"NBA 2K14 (2013)"	1
"Multi Theft Auto San Andreas ()"	1
"Multi Theft Auto (GTASA Multiplayer Mod) ()"	1
"Movie Battles 2 (MOD JKA) ()"	1
"Mount & Blade: With Fire and Sword ()"	1
"Mount & Blade: Warband - Viking Conquest Reforged Edition ()"	1
"Mordheim: City of the Damned ()"	1
"Monstrum (2007)"	1
"Monopoly Slots ()"	1
"Monkey Island: SE ()"	1
"Monkey Island 2 - ScummVM ()"	1
"Monanco what`s yours is mine ()"	1
"Monaco: What's Yours is Mine (2013)"	1
"Missing Translation ()"	1
"Mini Metro (2015)"	1
"Minetest (2011)"	1
"Minecraft: Story Mode ()"	1
"Minecraft FTB ()"	1
"Might& Magic: Heroes VI ()"	1
"Might and Magic III ()"	1
"Might & Magic: Clash of Heroes (2011)"	1
"Might & Magic Duel of Champions (2013)"	1
"Middle-earth™: Shadow of Mordor™ ()"	1
"Middle Earth: Shadows of Mordor ()"	1
"Middel Earth.Shadow of Mordor ()"	1
"Microsoft Flight Simulator X (0)"	1
"Miasmata ()"	1
"Metroid: Zero Mission (2004)"	1
"Metroid Prime 3: Corruption (2007)"	1
"Metro: Last Light Redux (2013)"	1
"Metro 2033 Redux (2014)"	1
"Metin2 ()"	1
"Metal Gear Solid V: Ground Zeroes (2014)"	1
"Metal Gear Solid 5: The Phantom Pain (Windows) ()"	1
"Metal Gear (1988)"	1
"Men of War Assault Squad ()"	1
"Meltdown (1990)"	1
"Medieval Engineers ()"	1
"Mechcommander ()"	1
"Mech Commander II ()"	1
"Max Max ()"	1
"Master of Magic (1994)"	1
"Mass effect 1;2;3 ()"	1
"Mass Effect Franchise ()"	1
"Marvel Puzzle Quest ()"	1
"Marvel Heroes 2015 (2014)"	1
"Mario Tennis Ultra Smash ()"	1
"Mario Party Island Tour ()"	1
"Mario Kart 64 (1996)"	1
"Mario & Luigi - Paper Jam Bros. ()"	1
"Manhunt (2004)"	1
"MahJong (2012)"	1
"Magrunner: Dark Pulse (2013)"	1
"Magick: 2014 ()"	1
"Magicite (2014)"	1
"Magic: The Gathering - Duels of the Planeswalkers 2014 (2013)"	1
"Magic Duels (Magic: The Gathering) ()"	1
"Magic Arena ()"	1
"Madden NFL Mobile 16 ()"	1
"Madden NFL 16 ()"	1
"Mad Games Tycoon ()"	1
"MS Flight Simulator X ()"	1
"LuftrauserS (2014)"	1
"Lovely Planet ()"	1
"Lost Odyssey (2008)"	1
"Lost Horizon (2013)"	1
"Lord of the Dark Castle ()"	1
"Loadout ()"	1
"Little Inferno (2013)"	1
"Lightning Returns: Final Fantasy XIII (2014)"	1
"Lifeline ()"	1
"LifeIsStrange ()"	1
"Life of Pixel (2013)"	1
"Life is Feudal Your Own ()"	1
"Life Is Strange™ ()"	1
"Lichdom: Battlemage ()"	1
"Leisure Suit Larry 1 ()"	1
"Lego Marvel Superheroes ()"	1
"Lego Jurassic Park ()"	1
"Lego Dimensons ()"	1
"Lego Dimensions ()"	1
"Legends of Eisenwald (2015)"	1
"Legend of Grimrock II ()"	1
"Legacy Tales: Mercy of the Gallows ()"	1
"Leftt 4 Dead 2 ()"	1
"Left 4 ()"	1
"Leaque of Legends ()"	1
"League of Legendes ()"	1
"Leadge of Legends ()"	1
"Layers of Fear (2016)"	1
"Last Chaos (2009)"	1
"Larva Mortus ()"	1
"Lara Croft and the Tempel of Osiris ()"	1
"Lara Croft GO (2015)"	1
"LIMBO (2011)"	1
"LEGO® Worlds ()"	1
"LEGO The Hobbit (2013)"	1
"LEGO Marvel Super Heroes (2013)"	1
"LEGO Der Hobbit (2014)"	1
"L. A. Noire ()"	1
"Kung Fury Street Rage ()"	1
"Kraven Manor ()"	1
"Knights of the old Republic 2 ()"	1
"Knights of Pen and Paper II ()"	1
"Knights of Pen and Paper 2 ()"	1
"Kirby's Adventure Wii (2011)"	1
"Kingdoms of Amalur: Reckoning (2012)"	1
"Kingdom under Fire (2000)"	1
"Kingdom Rush (2011)"	1
"Kingdom Hearts II.5 HD ReMIX ()"	1
"Kingdom Hearts 358/2 Days (2009)"	1
"Kingdom Hearts (2002)"	1
"Kingdom ()"	1
"Killling Floor 2 ()"	1
"Killing Flor 2 ()"	1
"Killing Floor2 ()"	1
"Killing Floor 1 ()"	1
"Kholat (2016)"	1
"Kerbal Spaceprogram ()"	1
"Just Cause™ 3 ()"	1
"Just Cause 2 - Multiplayer ()"	1
"Judge Dredd: Dredd vs. Death (2003)"	1
"Journey (2012)"	1
"Jolly Rover ()"	1
"Jo Danger the Movie ()"	1
"Jet Force Gemini (1999)"	1
"Jedi Knight 2: Jedi Outcast ()"	1
"Jagged Alliance 2 (2006)"	1
"Jade Empire (2005)"	1
"Jade Dynasty ()"	1
"Ittle Dew ()"	1
"Iron Front Liberation 1944 ()"	1
"Iron Brigade (2011)"	1
"Interplanetary ()"	1
"Intergalactic Bubbles ()"	1
"Infinifactory ()"	1
"InFamous: First Light (2014)"	1
"Idolm@ster: Cinderella Girls Starlight Stage ()"	1
"IL-2 Sturmovik: Cliffs of Dover (2011)"	1
"Hyperdimension Neptunia ReBirth2 Sisters Generation ()"	1
"Hyperdimension Neptunia (2011)"	1
"Hypderdimension Neptunia ReBirth 3 V Generation ()"	1
"Hurtworld ()"	1
"Hunted - The Demon's Forge (PC) ()"	1
"HungryCat Mahjong ()"	1
"Hotline Miami 2 Wrong Number ()"	1
"Homeworld Remastered Collection ()"	1
"Holy Potatoes! A Weapon Shop?! ()"	1
"Holy Avatar and the Maidens of death ()"	1
"Hitmann Absolution ()"	1
"Hitman:Sniper Challenge ()"	1
"Hitman: Contracts (2005)"	1
"Heroes of Might and Magic V (2006)"	1
"Heroes of Might and Magic 7 ()"	1
"Heroes Charge (0)"	1
"Heretic Kingdoms The Inquisition ()"	1
"Heavy Rain (2016)"	1
"Heavenly Sword (2007)"	1
"Hearts of Iron II (2005)"	1
"Hearthstone (PC) ()"	1
"Hearthlands ()"	1
"Hearth Stone ()"	1
"Hay Day (2012)"	1
"Haxball (0)"	1
"Hatsune Miku Project Diva F 2nd ()"	1
"Harvest Moon Baum der Stille ()"	1
"Harry Potter und der Feuerkelch (Gamecube) ()"	1
"Hard Reset (Extended Edition) (2012)"	1
"Hammerfall ()"	1
"Halo: Combat Evolved (2001)"	1
"Halo 5 Guardians ()"	1
"Halo 4 (2012)"	1
"Halo - The Master Chief Collection ()"	1
"Half-Life II ()"	1
"Half-Life 2: Episode Two (2007)"	1
"Half-Life 2 Mods ()"	1
"Half minute Hero: Super Mega Neo Climax Ultimate Boy ()"	1
"Hacker Evolution ()"	1
"Hack' n' Slash ()"	1
"Guns; Gore & Cannoli ()"	1
"Guitar Hero Live (2015)"	1
"Guitar Hero / Band Hero ()"	1
"Guild Wars (2005)"	1
"Guardians of Orion ()"	1
"Grow Home (2015)"	1
"Grimm ()"	1
"Grim Fandango Remasters ()"	1
"Grim Fandango (1998)"	1
"Gray Goo ()"	1
"Grav Reborn ()"	1
"Grandia II Anniversary Edition ()"	1
"Grandia 2 ()"	1
"Grandia (1999)"	1
"Grand Turismo 5 ()"	1
"Grand Theft Auto Online ()"	1
"Goodgame Big Farm ()"	1
"God of war 3 ()"	1
"God of War III Remastered (2015)"	1
"GoalOne ()"	1
"Gird Autosport ()"	1
"Gemini Rue (2011)"	1
"GemCraft - Chasing Shadows ()"	1
"Gears of War ultimate edition ()"	1
"Gears of War (2006)"	1
"GearCity ()"	1
"Gat out of hell ()"	1
"Garou Mark of the Wolves (2001)"	1
"Gang Beasts (2014)"	1
"Gameboy-Advance-Emulator (verschiedene Spiele) ()"	1
"Game of Thrones Adventure ()"	1
"Game of Thrones - TellTale Games Series ()"	1
"Game of Thrones - A Telltale Game Series (PC) ()"	1
"Game Royale ()"	1
"Galactic Civilizations II (2009)"	1
"Galactic Civilization III ()"	1
"Gabriel Knight 3: Blood of the Sacred; Blood of the Damned ()"	1
"Gabriel Knight - Sins of our Fathers ()"	1
"GUILTY GEAR Xrd -SIGN- ()"	1
"GUILTY GEAR XX ACCENT CORE PLUS R ()"	1
"GTR 2: FIA GT Racing Game (2006)"	1
"GTAOnline ()"	1
"GTA: Vice City ()"	1
"GTA: V ()"	1
"GTA V (PC) ()"	1
"GTA SA (Carball) ()"	1
"GTA SA ()"	1
"GTA Online ()"	1
"GT Legends (2005)"	1
"GODUS ()"	1
"G.T.A. 5 ()"	1
"G-senjou no Maou ()"	1
"Frozen Synapse ()"	1
"Freedom Planet (2015)"	1
"Free Cell ()"	1
"Frame Protector Sync (http://www.kongregate.com/games/innomin/f-p-s) ()"	1
"Forza Motorsport 4 (2011)"	1
"Forza Horizon 2 (2014)"	1
"Forza Horizon (2012)"	1
"Forza 6 ()"	1
"Forgotten Hope 2 / Mod von Battlefiled 2 ()"	1
"Forge ()"	1
"FootLOL: Epic Fail League ()"	1
"FlatOut (2007)"	1
"Fistful of Frags (HL2 mod) ()"	1
"Fist Puncher ()"	1
"Fishing Planet ()"	1
"Fishing Planert ()"	1
"Fishdom - Holiday Edition ()"	1
"Fire Emblem (GBA) ()"	1
"Finala Fantasy XIV ()"	1
"Final Fantasy XIII-2 (2012)"	1
"Final Fantasy X HD Remaster (2014)"	1
"Final Fantasy X (2002)"	1
"Final Fantasy Tactics (1998)"	1
"Final Fantasy Record Keeper ()"	1
"Final Fantasy 9 ()"	1
"Final Fantasy 13: Lightning Retiurns ()"	1
"Fight the Dragon ()"	1
"Fifa98 ()"	1
"Fez (2014)"	1
"Fate GO ()"	1
"FarmVille 2: Raus auf's Land ()"	1
"Farcry IV ()"	1
"Family Guy: The Quest for Stuff ()"	1
"Family Guy: Mission Sachensuche (0)"	1
"Fallout:Shelter ()"	1
"Fallout: Nrew Vegas ()"	1
"Fallout- New Vegas ()"	1
"Fallout Vegas ()"	1
"Fallout New Vegas (PC) ()"	1
"Fallout 3 (Goty) ()"	1
"Fallou 4 ()"	1
"Fallen Earth ()"	1
"Falcon BMS ()"	1
"Fahrenheit: Indigo Prophecy ()"	1
"Faery: Legends of Avalon (2010)"	1
"Fable II (2008)"	1
"FSX:SE ()"	1
"FIFA16 ()"	1
"FIFA 98 ()"	1
"FIFA 2016 ()"	1
"FIFA 11 (2010)"	1
"FFXIV ()"	1
"FF XIII LR ()"	1
"F1 2012 (2012)"	1
"F.E.A.R. 3 (2011)"	1
"Eye of the Beholder ()"	1
"Evoland: A Short Story of Adventure Video Games Evolution ()"	1
"Evoland II ()"	1
"Evoland (PC) ()"	1
"EvoCreo ()"	1
"Everlasting Summer ()"	1
"EverQuest II (2004)"	1
"Evel Knievel (1999)"	1
"Europa Truck Simulator 2015 ()"	1
"EuroTruckSimulator 2 ()"	1
"Euro Fishing ()"	1
"Eschalon Book 1 ()"	1
"Escape from Monkey Island (2001)"	1
"Epic Battle Fantasy 4 (2014)"	1
"Envolve ()"	1
"Enslaved: Journey to the West ()"	1
"Enlaved: Odyssey To The West ()"	1
"Endless Space ()"	1
"Enclave (2003)"	1
"Empyrion Galactic survival ()"	1
"Empyrion ()"	1
"Empire Earth (2001)"	1
"Elite Frontier ()"	1
"Elite Dangerous: Horizons ()"	1
"Elder Scrolls: Skyrim ()"	1
"Earn to Die 2 ()"	1
"Dying Lihgt ()"	1
"Dyin Light ()"	1
"Dyad (2012)"	1
"Duskers ()"	1
"Dungeon Siege (2002)"	1
"Dungeon Defenders (2011)"	1
"Duke Nukem Forever (2011)"	1
"Duke Nukem 3D: Megaton Edition ()"	1
"Duke Nukem (2012)"	1
"DuckTales: Remastered ()"	1
"Duck Game ()"	1
"Drunken Robot Pornography ()"	1
"Driver: San Francisco (2011)"	1
"Driver Parallel Lines ()"	1
"Drakensang Online ()"	1
"Drakensang - Am Fluß der Zeit ()"	1
"Drak Souls 2 ()"	1
"Dragons World ()"	1
"Dragonball Dokkan Battle ()"	1
"Dragonball ()"	1
"Dragonage II ()"	1
"Dragon's Dogma (2012)"	1
"Dragon Quest IX: Hoshizora no Mamoribito (2009)"	1
"Dragon Quest Heros ()"	1
"Dragon Quest 3 ()"	1
"Dragon Fin Soup (2015)"	1
"Dragon Age Origins Ultimate Edition ()"	1
"Dr. Langeskov; The Tiger; and The Terribly Cursed Emerald: A Whirlwind Heist ()"	1
"Dr. Langeskov; The Tiger; and The Terribly Cursed Emerald A Whirlwind Heist ()"	1
"Downwell (2015)"	1
"Double Dragon Neon (2012)"	1
"DosBox ()"	1
"Doom II (1994)"	1
"Doom I ()"	1
"Doom BFG edition ()"	1
"Doom 3 BFG Edition ()"	1
"Dont' Starve ()"	1
"Donkey Kong Country: Tropical Freeze (2014)"	1
"Don't Starve - Shipwrecked ()"	1
"Dominions 4: Thrones of Ascension (2013)"	1
"Dominion (Kartespieladaption auf https://www.playdominion.com) ()"	1
"Domination Yura.net ()"	1
"Doctor Who: The Adventure Games ()"	1
"Doctor Who Legacy ()"	1
"DoW Soulstorm ()"	1
"Diyng Light ()"	1
"Divinity: Origins ()"	1
"Divinity: Original Sin Enhanced Edition ()"	1
"Divinity Original Sin Enhanced ()"	1
"Divinity Enhanced Edition ()"	1
"Divinity Dragon Commander ()"	1
"Divine slice of Life ()"	1
"Diverse FB Spiele ()"	1
"Distant Worlds: Universe ()"	1
"Dishonored:Die Maske des Zorns ()"	1
"Dishonoerd ()"	1
"Dishonnored ()"	1
"Dirt: Rally ()"	1
"Dig Or Die ()"	1
"Die Sims Mittelalter ()"	1
"Die Siedler Online (2012)"	1
"Die Siedler 2 DNG Wikinger ()"	1
"Die Siedler - Aufbruch der Kulturen ()"	1
"Diddy Kong Racing (1997)"	1
"Diablo III: Reaper of Soul ()"	1
"Diablo 2: Lord of Destruction ()"	1
"DiRT 3 Complete Edition ()"	1
"Devils & Demons ()"	1
"Deus Ex: HR ()"	1
"Deus Ex HumanRevolution ()"	1
"Destiny Fallen King ()"	1
"Descent (1997)"	1
"Der Patrizier (1992)"	1
"Deponia 2 ()"	1
"Democracy 3 ()"	1
"Demo Life is Strange ()"	1
"Defiance (2013)"	1
"Defense Grid 2 (2014)"	1
"Deep Dungeons of Doom ()"	1
"Deadlight (2012)"	1
"Deadfall Adventures (2013)"	1
"Dead or Alive 5 Last Round (2015)"	1
"Dead or Alive 5 (2012)"	1
"Dead Space 3 (2013)"	1
"Dead Rising 2:Off The Record ()"	1
"Dead Pixels (2011)"	1
"Dead Man's Draw ()"	1
"Dead Light ()"	1
"Dead In Bermuda ()"	1
"Dead Frontier ()"	1
"Dead Effect ()"	1
"Daylight (2014)"	1
"DayZ (Standalone) ()"	1
"Day of Defeat:Source ()"	1
"Dawn of War2 ()"	1
"Dawn of War 2 Chaos Rising ()"	1
"Dawn of War 1 ()"	1
"Darksiders 2: Deathinitive Edition ()"	1
"Darkness Reborn (0)"	1
"Darkest Hour: A Hearts of Iron Game ()"	1
"Dark Souls: Prepare to Die Edition (Windows) ()"	1
"Dark Souls Prepare to Die Edition ()"	1
"Dark Souls II - Scholar of the First Sin (PC) ()"	1
"Dark Souls I ()"	1
"Dark Souls 2: Sholar of the First Sin ()"	1
"Dark Souls 2 :scholar of the fist Sin ()"	1
"Dark Soul's ()"	1
"Dark Messiah: Might and Magic (2006)"	1
"Dakrness II ()"	1
"DSA-Schicksalsklinge ()"	1
"DSA Drakensang Gold (1. Teil) ()"	1
"DOA 5 Ultimate Last Round ()"	1
"DEX ()"	1
"DBZ Hyper ()"	1
"DAYZ (2013)"	1
"DARK SOULS II Scholar of the First Sin ()"	1
"Curse of the Azure Bonds ()"	1
"Crysis 2 Maximum Edition ()"	1
"Cry of Fear ()"	1
"Crusaders Of the Lost Idols ()"	1
"Crookz - The Big Heist ()"	1
"Crash of the Titans (2007)"	1
"Crash Team Racing (1999)"	1
"Craft The World (2014)"	1
"Counter ()"	1
"Cossacks Back to War ()"	1
"Cook; Serve; Delicious ()"	1
"Contraption Maker ()"	1
"Construction Simulator 2015 (2014)"	1
"Company of Heros Blitzkrieg Mod ()"	1
"Company of Heroes 1 ()"	1
"Company of Heroes (New Steam Version) ()"	1
"Commander Keen Complete Pack ()"	1
"Command&Conquer 3: Tiberium Wars ()"	1
"Command and Conquer 4 ()"	1
"Command & Counquer Generals ()"	1
"Command & Conquer: Red Alert 2 (2000)"	1
"Command & Conquer: Generals (2003)"	1
"Command & Conquer: Alarmstufe Rot (1996)"	1
"Command & Conquer (1995)"	1
"Comany of Heroes 2 ()"	1
"Codename CURE ()"	1
"Cobalt ()"	1
"Club Manager 2016 ()"	1
"Closure ()"	1
"Clash of Heros ()"	1
"Civilization Beyond Earth - Rising Tide ()"	1
"Civilization 5  beyond earth ()"	1
"Civilisation Serie ()"	1
"Cities in Motion 2 (2013)"	1
"Circuits ()"	1
"Chrono Trigger (2008)"	1
"Chaser ()"	1
"Chantelise - A Tale of Two Sisters ()"	1
"Champions Online (2009)"	1
"Chainsaw Warrior ()"	1
"Chains Of Satinav ()"	1
"Catacomb kids ()"	1
"Cat goes fishing ()"	1
"Castlevania OoE ()"	1
"Carmageddon: Reincarnation ()"	1
"Carball ()"	1
"Car Mechanics Simulator 2015 ()"	1
"Car Mechanic Simulator 2015 ()"	1
"Candy Crush Soda Saga (2014)"	1
"Call to Arms ()"	1
"Call of Juarez (2006)"	1
"Call of Duty 3 (2006)"	1
"Call Of Juarez The Cartel ()"	1
"C ()"	1
"Burnout: Paradise (2008)"	1
"Burnout (2002)"	1
"Bully: Scholarship Edition (2008)"	1
"Bulb Boy ()"	1
