Wert	Frequency	Kommuliert
0	751	751
2	2	753
3	1	754
4	3	757
5	12	769
6	1	770
9	2	772
10	15	787
12	2	789
15	7	796
16	1	797
20	22	819
22	1	820
24	2	822
25	3	825
30	8	833
36	1	834
40	1	835
42	1	836
45	3	839
50	13	852
60	11	863
68	1	864
70	3	867
72	1	868
75	1	869
80	3	872
100	16	888
120	5	893
130	1	894
150	2	896
160	1	897
180	1	898
200	2	900
300	1	901
348	1	902
420	1	903
500	1	904
600	1	905
.	1510	2415
