"Titel"	"Anzahl"
"Star Wars: The Old Republic (2011)"	5
"Pokemon ()"	5
"Goodbye Deponia (2016)"	5
"Assassins Creed IV Black Flag (2013)"	5
"Crusader Kings II (2012)"	5
"Forza Motorsport 5 (2013)"	5
"Smite (2014)"	5
"OMSI 2 (2013)"	5
"Brothers (2013)"	5
"Sniper Elite V2 (2013)"	5
"Total War Rome 2 (2013)"	5
"Mirror's Edge (2008)"	5
"Kerbal Space Programm (2012)"	5
"BF4 (2013)"	5
"Monaco (2013)"	5
"Assassins Creed IV (2013)"	5
"Papers; Please ()"	5
"Titan Quest (0)"	5
"Metro: Last Light (2013)"	5
"Batman: Arkham Asylum (2009)"	5
"Mirrors Edge (2008)"	5
"BioShock Infinite (2013)"	5
"Serious Sam 3 BFE (2011)"	5
"Assassins Creed 2 (2009)"	5
"Trine (2009)"	5
"borderlands 2 (2012)"	5
"Counterstrike: Global Offensive (2012)"	5
"Bravely Default (2014)"	5
"Sims 3 (2010)"	5
"Aion (2009)"	5
"Counter-Strike: Source (2004)"	5
"Saints Row The Third (2011)"	5
"Half-Life 2 (2004)"	4
"Starcraft II (2010)"	4
"Supreme Commander 2 (2010)"	4
"Total War: Rome II (2013)"	4
"Mount & Blade Warband (2010)"	4
"Diablo III (2012)"	4
"Eve Online (2006)"	4
"Assassins Creed Black Flag (2013)"	4
"Braid (2009)"	4
"The Witcher (2007)"	4
"BF3 (2011)"	4
"COD Ghosts (2013)"	4
"Dragon Age (2009)"	4
"call of duty (2003)"	4
"CSS (2004)"	4
"Arma 2 (2009)"	4
"GTA San Andreas (2007)"	4
"Rome 2: Total War (2013)"	4
"League of legends (2009)"	4
"PayDay 2 (2013)"	4
"TF2 (2007)"	4
"Final Fantasy 8 (2000)"	4
"Just Cause 2 Multiplayer Mod (2010)"	4
"Shadowrun Returns (2013)"	4
"Fallout 2 (1998)"	4
"Ragnarok Online (2013)"	4
"Pinball FX2 (2010)"	4
"Gnomoria (2013)"	4
"Just Cause 2 MP (2010)"	4
"F.E.A.R. (2005)"	4
"The Bureau: XCOM Declassified (2013)"	4
"Metal Gear Solid 4 (2008)"	4
"Fire Emblem: Awakening (2013)"	4
"TES Skyrim (2011)"	4
"Spelunky (2009)"	4
"NBA 2k14 (2013)"	4
"skyrim (2011)"	4
"Bioshock 2 (2010)"	4
"battlefield 4 (2013)"	4
"XCOM ()"	4
"Half-Life (1998)"	4
"Killzone Shadow Fall (2013)"	4
"FTL (2012)"	4
"Counter Strike: Source (2004)"	4
"Age of Empires 3 (2005)"	4
"Total War: Shogun 2 (2011)"	4
"Infestation: Survivor Stories (2000)"	4
"Gran Turismo 6 (2013)"	4
"Batman: Arkham Origins (2013)"	4
"Cities in Motion 2 (2013)"	4
"Empire Total War (2009)"	4
"L4D2 (2009)"	4
"Assassin's Creed IV: Black Flag (2013)"	4
"Garry´s Mod (2006)"	4
"Warcraft 3 (2002)"	4
"Worms Ultimate Mayhem (2011)"	4
"Project Zomboid ()"	4
"Dungeon Defenders (2011)"	4
"Dota (2002)"	4
"Devil May Cry (2001)"	4
"Rift (2011)"	4
"Rocksmith (2013)"	4
"Hammerwatch (2013)"	4
"Team Fortress (2005)"	4
"Divinity 2 (2010)"	4
"System Shock 2 (2013)"	4
"Sim City 4 (2003)"	4
"X-Rebirth (2013)"	4
"Half Life (1998)"	4
"Splinter Cell Blacklist (2013)"	4
"minecraft (2010)"	4
"GTA 4 (2008)"	4
"Dont Starve (2014)"	4
"left 4 dead 2 (2009)"	4
"7 Days to Die (2013)"	4
"Torchlight (2011)"	3
"BioShock (2008)"	3
"The Walking Dead: Season Two ()"	3
"FTL: Faster than light (2012)"	3
"Gemini Rue (2011)"	3
"Mass Effect (2007)"	3
"Injustice (2013)"	3
"Tomb Raider II (1998)"	3
"Call of Duty: Black Ops II (2012)"	3
"DiRT 3 (2011)"	3
"Waking Mars (2012)"	3
"Payday The Heist (2011)"	3
"Burnout Paradise (2008)"	3
"No More Room In Hell (2013)"	3
"Tera (2011)"	3
"Defiance (2013)"	3
"Skullgirls (2012)"	3
"Dead Space 2 (2011)"	3
"TrackMania 2 (2011)"	3
"Sonic & All-Stars Racing Transformed (2012)"	3
"Monkey Island (1990)"	3
"The Swapper (2014)"	3
"Battlefield 1942 (2003)"	3
"Ni No Kuni ()"	3
"Bioshock infinite (2013)"	3
"Pokemon X (2013)"	3
"Tomb Raider (2013) (2013)"	3
"starbound (2013)"	3
"Saints row 4 (2013)"	3
"Star Conflict ()"	3
"Shadow Warrior (2013) (1997)"	3
"Crysis 2 (2011)"	3
"Left4Dead 2 (2009)"	3
"Splinter Cell: Blacklist (2013)"	3
"PAYDAY: The Heist (2011)"	3
"shadow warrior (1997)"	3
"Ace of Spades (2012)"	3
"The Wolf among us (2014)"	3
"dungeon defenders (2011)"	3
"Awesomenauts (2012)"	3
"Evoland (2013)"	3
"Just Cause 2: Multiplayer Mod (2010)"	3
"Limbo (2012)"	3
"Long Live The Queen (2013)"	3
"Prototype (2009)"	3
"Crysis (2007)"	3
"Assassin's Creed IV (2013)"	3
"The Elder Scrolls 5: Skyrim (2011)"	3
"Assasins Creed Black Flag (2013)"	3
"Pokémon Y (2013)"	3
"Darksiders 2 (2012)"	3
"Serious Sam 3 (2011)"	3
"Plants vs Zombies (2009)"	3
"Hearthstone Beta (2014)"	3
"Fallout (1997)"	3
"Dota2 (2013)"	3
"Civ V (2011)"	3
"rFactor (2007)"	3
"Guildwars 2 (2012)"	3
"Chaos auf Deponia (2012)"	3
"Far Cry3 (2012)"	3
"Unepic (2014)"	3
"Team Fotress 2 (2007)"	3
"Counterstrike (2003)"	3
"Dragons Dogma (2012)"	3
"Unreal Tournament 2004 (2004)"	3
"Duke Nukem 3D (2013)"	3
"dota2 (2013)"	3
"War of the Roses (2012)"	3
"league of legends (2009)"	3
"Assassin's Creed IV Black Flag (2013)"	3
"ARMA 3 (2013)"	3
"Assassin's Creed Brotherhood (2010)"	3
"Demonicon (2013)"	3
"Doom 3 (2005)"	3
"Baldurs Gate (2000)"	3
"The Incredible Adventures of Van Helsing (2013)"	3
"CS:S (2004)"	3
"Tomb Raider 2013 (2013)"	3
"Train Simulator 2014 ()"	3
"Counter-Strike GO (2012)"	3
"Mechwarrior Online (2013)"	3
"Metal Gear Solid (1998)"	3
"Hearts of Iron 3 (2009)"	3
"Payday (2011)"	3
"Baldur's Gate (2000)"	3
"Call of Duty Ghost (2013)"	3
"Broken Sword 5 ()"	3
"Baldur's Gate 2 (2006)"	3
"Call of Duty 2 (2005)"	3
"EVE Online (2006)"	3
"Dragon Age Origin (2009)"	3
"LEGO Herr der Ringe (2012)"	3
"Castle Crashers (2008)"	3
"Dino D-Day (2011)"	3
"The Walking Dead S2 ()"	3
"Spore (2008)"	3
"Guacamelee! (2013)"	3
"Torchlight II (2012)"	3
"World in Conflict (2007)"	3
"Left for Dead 2 (2009)"	3
"Stanley Parable (2013)"	3
"TES V: Skyrim (2011)"	3
"Assassin's Creed 3 (2012)"	3
"GTA5 (2013)"	3
"Planetary Annihilation (2014)"	3
"Pay Day 2 (2013)"	3
"Brothers - A Tale of Two Sons (2013)"	3
"Sins of a Solar Empire (2008)"	3
"Dead Rising 3 (2013)"	3
"Rising Storm (2013)"	3
"Day of Defeat: Source (2005)"	3
"Civilization 4 (2005)"	3
"Portal (2007)"	3
"Fifa 13 (2012)"	3
"DuckTales Remastered (2013)"	3
"Godus (2013)"	3
"Left4Dead2 (2009)"	3
"Chivalry: Medieval Warfare (2012)"	3
"Paranautical Activity (2013)"	3
"Age of Empires II HD (2013)"	3
"World of Goo (2008)"	2
"Drakensang (2008)"	2
"Anno 1404 Venedig (2009)"	2
"The Cave (2013)"	2
"NBA 2K14 (2013)"	2
"Bulletstorm (2011)"	2
"No more Room in Hell (2013)"	2
"R.U.S.E (2010)"	2
"Jagged Alliance 2 (2006)"	2
"Battlefield Reihe ()"	2
"Civilisation V (2011)"	2
"Age of Empires II: HD Edition (2013)"	2
"Deus Ex: Human Revolution - Director's Cut (2011)"	2
"Mass effect 3 (2012)"	2
"Zelda Wind Waker HD (2003)"	2
"Faster than light (2012)"	2
"Rollercoaster Tycoon 3 (2004)"	2
"Counterstrike GO (2012)"	2
"Battlefield3 (2011)"	2
"Muramasa Rebirth (2013)"	2
"XCOM Enemy Within (2013)"	2
"Enemy Territory (2003)"	2
"x rebirth (2013)"	2
"ArmA 3 (2013)"	2
"Rim World ()"	2
"Counter-Strike Global Offensive (2012)"	2
"Omsi 2 (2013)"	2
"Orcs Must Die 2 (2012)"	2
"Magicka: Wizard Wars (2011)"	2
"Super Mario Bros U (2012)"	2
"Call of Duty: Modern Warfare 2 (2009)"	2
"Saints Row 2 (2008)"	2
"Two Worlds 2 (2010)"	2
"Just Cause 2 Multiplayer (2010)"	2
"StarCraft 2 (2010)"	2
"Dishonered (2012)"	2
"Farcry 3 (2012)"	2
"Left 4 dead 2 (2009)"	2
"BF 4 (2013)"	2
"Company of Hereos 2 (2013)"	2
"Don't starve (2014)"	2
"killing floor (2009)"	2
"Witcher 2 (2011)"	2
"Brütal Legend (2009)"	2
"Die Sims 3 (2010)"	2
"Binary Domain (2012)"	2
"Dead Island Riptide (2013)"	2
"outlast (2014)"	2
"Risen (2012)"	2
"Supreme Commander (2011)"	2
"Faster than Light (2012)"	2
"The Elder Scrolls: Skyrim (2011)"	2
"Grid2 (2013)"	2
"War thunder (2012)"	2
"Hard Reset (2012)"	2
"Die Siedler 6 (2007)"	2
"Call of Duty Modern Warfare 3 (2011)"	2
"To the Moon (2012)"	2
"Game of Thrones (2012)"	2
"Project Zero (2002)"	2
"hearthstone (2014)"	2
"XRebirth (2013)"	2
"Counter-Strike Source (2004)"	2
"WarThunder (2012)"	2
"Trackmania² Canyon (2011)"	2
"Medieval 2 (2000)"	2
